venue,title,year,authors,entityUrl
SIGMOD Conference,Fine-Grained Sharing in a Page Server OODBMS,1994,"Michael J. Carey, Markos Zaharioudakis, Michael J. Franklin",conf/sigmod/CareyFZ94
SIGMOD Record,ADEPT: An Agent-Based Approach to Business Process Management,1998,"Timothy J. Norman, Nicholas R. Jennings, Peyman Faratin",journals/sigmod/JenningsNF98
SIGMOD Record,Introduction to the Career Forum Column,2001,Alexandros Labrinidis,journals/sigmod/Labrinidis01
SIGMOD Conference,Image Mining in IRIS: Integrated Retinal Information System,2000,"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee",conf/sigmod/HsuLG00
SIGMOD Conference,Enterprise Information Architectures -- They're Finally Changing,1994,Wesley P. Melling,conf/sigmod/Melling94
VLDB,Integrating Information for On Demand Computing,2003,Nelson Mendon�a Mattos,conf/vldb/Mattos03
VLDB J.,Th�mis: A Database Programming Language Handling Integrity Constraints,1995,"Anne Doucet, V�ronique Benzaken",journals/vldb/BenzakenD95
VLDB J.,An Introduction to Deductive Database Languages and Systems,1994,"Kotagiri Ramamohanarao, James Harland",journals/vldb/RamamohanaraoH94
VLDB,Information Management Challenges from the Aerospace Industry,2002,Suryanarayana M. Sripada,conf/vldb/Sripada02
SIGMOD Conference,State of the Art in Workflow Management Research and Products,1996,C. Mohan,conf/sigmod/Mohan96
SIGMOD Record,VideoAnywhere: A System for Searching and Managing Distributed Video Assets,1999,"Amit P. Sheth, Kshitij Shah, Clemens Bertram",journals/sigmod/ShethBS99
SIGMOD Record,Phoenix Project: Fault-Tolerant Applications,2002,"Roger S. Barga, David B. Lomet",journals/sigmod/BargaL02
SIGMOD Record,Cluster Validity Methods: Part I,2002,"Michalis Vazirgiannis, Yannis Batistakis, Maria Halkidi",journals/sigmod/HalkidiBV02
SIGMOD Conference,DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,1995,William L. Gettys,conf/sigmod/Gettys95
SIGMOD Conference,Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems,1994,"Bharat K. Bhargava, Aidong Zhang, Marian H. Nodine, Omran A. Bukhres",conf/sigmod/ZhangNBB94
SIGMOD Conference,"Replication, Consistency, and Practicality: Are These Mutually Exclusive?",1998,"Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson",conf/sigmod/AndersonBKW98
VLDB,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,2002,"Hans-Arno Jacobsen, Haifeng Liu",conf/vldb/LiuJ02
ACM Trans. Database Syst.,Searching in metric spaces with user-defined and approximate distances,2002,"Marco Patella, Paolo Ciaccia",journals/tods/CiacciaP02
SIGMOD Conference,Algorithms for Deferred View Maintenance,1996,"Leonid Libkin, Inderpal Singh Mumick, Latha S. Colby, Howard Trickey, Timothy Griffin",conf/sigmod/ColbyGLMT96
VLDB,Design and Development of a Stream Service in a Heterogenous Client Environment,2000,"Stavros Christodoulakis, Nikos Pappas",conf/vldb/PappasC00
SIGMOD Conference,COUGAR: the network is the database,2002,"Wai Fu Fung, David Sun, Johannes Gehrke",conf/sigmod/FungSG02
SIGMOD Conference,The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,1995,"David Maier, Peter Buneman",conf/sigmod/BunemanM95
VLDB J.,Effective Timestamping in Databases,2000,"Christian S. Jensen, Kristian Torp, Richard T. Snodgrass",journals/vldb/TorpJS00
ACM Trans. Database Syst.,SilkRoute: A framework for publishing relational data in XML,2002,"Dan Suciu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima",journals/tods/FernandezKSMT02
VLDB,The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries,2003,"Dimitris Papadias, Jimeng Sun, Yufei Tao",conf/vldb/PapadiasTS03
SIGMOD Record,Editor's Notes,1996,Jennifer Widom,journals/sigmod/Widom96b
VLDB,Mapping Adaptation under Evolving Schemas,2003,"Yannis Velegrakis, Lucian Popa, Ren�e J. Miller",conf/vldb/VelegrakisMP03
VLDB,The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,2003,"Gang Qian, Qiang Xue, Sakti Pramanik, Qiang Zhu",conf/vldb/QianZXP03
SIGMOD Conference,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,1998,Arvola Chan,conf/sigmod/Chan98
SIGMOD Conference,Exploiting Constraint-Like Data Characterizations in Query Optimization,2001,"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",conf/sigmod/GodfreyGXZ01
SIGMOD Conference,METU Interoperable Database System,1996,"Sema Mancuhan, Ismailcem Budak Arpinar, Fatma Ozcan, Pinar Koksal, Asuman Dogac, G�khan �zhan, Cevdet Dengi, Ugur Halici, Cem Evrendilek, Sena Nural, Ebru Kilic",conf/sigmod/DogacHKOONDMAKE96
VLDB,Clustering Techniques for Minimizing External Path Length,1996,"A. A. Diwan, S. Sudarshan, Sanjeeva Rane, S. Seshadri",conf/vldb/DiwanRSS96
VLDB,The National Medical Knowledge Bank,1998,Warren Sterling,conf/vldb/Sterling98
VLDB J.,Guest editorial,2003,"Vijay Atluri, Anupam Joshi, Yelena Yesha",journals/vldb/AtluriJY03
SIGMOD Record,Report on FQAS 2002: fifth international conference on flexible query answering systems,2003,"Amihai Motro, Troels Andreasen",journals/sigmod/MotroA03
VLDB,An Automated System for Web Portal Personalization,2002,"Philip S. Yu, Charu C. Aggarwal",conf/vldb/AggarwalY02
VLDB,WebFilter: A High-throughput XML-based Publish and Subscribe System,2001,"Fran�oise Fabret, Dennis Shasha, Hans-Arno Jacobsen, Fran�ois Llirbat, Jo�o Pereira",conf/vldb/PereiraFJLS01
SIGMOD Record,OGDI: Toward Interoperability among Geospatial Databases,1997,"Denis Gouin, Henry Kucera, Christian Larouche, Gilles Clement, Paul Morin",journals/sigmod/ClementLGMK97
SIGMOD Record,Editor's Notes,2000,Michael J. Franklin,journals/sigmod/Franklin00
SIGMOD Conference,Dimensionality Reduction for Similarity Searching in Dynamic Databases,1998,"Ambuj K. Singh, Kothuri Venkata Ravi Kanth, Divyakant Agrawal",conf/sigmod/KanthAS98
VLDB,Push Technology Personalization through Event Correlation,2000,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",conf/vldb/AdiBEY00
VLDB,Oracle Industrial Exhibit,1998,Amy Pogue,conf/vldb/Pogue98
VLDB,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,1997,"Khaled Alsabti, Vineet Singh, Sanjay Ranka",conf/vldb/AlsabtiRS97
SIGMOD Record,Editor's Notes,2001,Ling Liu,journals/sigmod/Liu01a
VLDB,Translating Web Data,2002,"Ren�e J. Miller, Ronald Fagin, Yannis Velegrakis, Mauricio A. Hern�ndez, Lucian Popa",conf/vldb/PopaVMHF02
SIGMOD Conference,Repository System Engineering,1996,Philip A. Bernstein,conf/sigmod/Bernstein96
SIGMOD Record,SIGMOD Sister Societies,2000,"Z. Meral �zsoyoglu, Stefano Ceri, Victor Vianu, Masaru Kitsuregawa, Leonid A. Kalinichenko, Hongjun Lu, Richard T. Snodgrass",journals/sigmod/CeriKKLOSV00
VLDB J.,Semantic integrity support in SQL: 1999 and commercial (object-)relational database management systems,2001,"Michael Gertz, Can T�rker",journals/vldb/TurkerG01
VLDB J.,"Adaptable Pointer Swizzling Strategies in Object Bases: Design, Realization, and Quantitative Analysis",1995,"Alfons Kemper, Donald Kossmann",journals/vldb/KemperK95
SIGMOD Conference,Implementing XQuery,2002,Paul Cotton,conf/sigmod/Cotton02
VLDB,Mining Surprising Patterns Using Temporal Description Length,1998,"Soumen Chakrabarti, Byron Dom, Sunita Sarawagi",conf/vldb/ChakrabartiSD98
SIGMOD Conference,Continually evaluating similarity-based pattern queries on a streaming time series,2002,"Like Gao, Xiaoyang Sean Wang",conf/sigmod/GaoW02
VLDB,Efficient Approximation Of Optimization Queries Under Parametric Aggregation Constraints,2003,"Dimitrios Gunopulos, Nick Koudas, Divesh Srivastava, Michail Vlachos, Sudipto Guha",conf/vldb/KoudasGGSV03
VLDB J.,The Aditi Deductive Database System,1994,"Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi",journals/vldb/VaghaniRKSSLH94
SIGMOD Conference,On Random Sampling over Joins,1999,"Vivek R. Narasayya, Surajit Chaudhuri, Rajeev Motwani",conf/sigmod/ChaudhuriMN99
VLDB,FeedbackBypass: A New Approach to Interactive Similarity Query Processing,2001,"Paolo Ciaccia, Florian Waas, Ilaria Bartolini",conf/vldb/WaasCB01
SIGMOD Conference,A Multimedia Presentation Algebra,1999,"Maria Luisa Sapino, Sibel Adali, V. S. Subrahmanian",conf/sigmod/AdaliSS99
ACM Trans. Database Syst.,A Structured Approach for the Definition of the Semantics of Active Databases,1995,"Letizia Tanca, Piero Fraternali",journals/tods/FraternaliT95
VLDB,Fast Algorithms for Mining Association Rules in Large Databases,1994,"Ramakrishnan Srikant, Rakesh Agrawal",conf/vldb/AgrawalS94
VLDB,"Large-Scale, Standards-Based Earth Observation Imagery and Web Mapping Services",2003,Peter Baumann,conf/vldb/Baumann03
SIGMOD Conference,Combinatorial Pattern Discovery for Scientific Data: Some Preliminary Results,1994,"Kaizhong Zhang, Jason Tsong-Li Wang, Bruce A. Shapiro, Thomas G. Marr, Gung-Wei Chirn, Dennis Shasha",conf/sigmod/WangCMSSZ94
SIGMOD Conference,Partition Based Spatial-Merge Join,1996,"David J. DeWitt, Jignesh M. Patel",conf/sigmod/PatelD96
VLDB,WebService Composition with O'GRAPE and OSIRIS,2003,"Christoph Schuler, Hans-J�rg Schek, Patrick Neukomm, Roger Weber, Heiko Schuldt",conf/vldb/WeberSNSS03
VLDB,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,1999,"Daniel A. Keim, Alexander Hinneburg",conf/vldb/KeimH99
SIGMOD Record,The Database Group at University of Hagen (FernUniversitaet),1995,"Silke Mittrach, Gunter Schlageter, Thomas Berkel, Andreas Scherer, Eberhard Heuel, Wolfgang Wilkes",journals/sigmod/SchlageterBHMSW95
SIGMOD Conference,Extended Wavelets for Multiple Measures,2003,"Antonios Deligiannakis, Nick Roussopoulos",conf/sigmod/DeligiannakisR03
VLDB,Business Modelling Using SQL Spreadsheets,2003,"Nathan Folkert, Abhinav Gupta, Andrew Witkowski, Srikanth Bellamkonda, Lei Sheng, Tolga Bozkaya, Sankar Subramanian",conf/vldb/WitkowskiBBFGSS03
SIGMOD Conference,Optimal Multi-Step k-Nearest Neighbor Search,1998,"Thomas Seidl, Hans-Peter Kriegel",conf/sigmod/SeidlK98
SIGMOD Conference,"Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",2002,Charu C. Aggarwal,conf/sigmod/Aggarwal02
VLDB J.,An Experimental System for Object-Based Sharing in Federated Databases,1996,"Shahram Ghandeharizadeh, Doug Fang",journals/vldb/FangGM96
SIGMOD Conference,The Lotus Notes Storage System,1995,Kenneth Moore,conf/sigmod/Moore95
VLDB,Schema-driven Customization of Web Services,2003,"Bernd Amann, Serge Abiteboul, J�r�me Baumgarten, Omar Benjelloun, Tova Milo, Frederic Dang Ngoc",conf/vldb/AbiteboulABBNM03
ACM Trans. Database Syst.,Evaluation of Remote Backup Algorithms for Transaction-Processing Systems,1994,"Christos A. Polyzois, Hector Garcia-Molina",journals/tods/PolyzoisG94
SIGMOD Conference,Using Schematically Heterogeneous Structures,1998,Ren�e J. Miller,conf/sigmod/Miller98
VLDB,Generalised Hash Teams for Join and Group-by,1999,"Donald Kossmann, Alfons Kemper, Christian Wiesner",conf/vldb/KemperKW99
SIGMOD Conference,"TPC-DS, taking decision support benchmarking to the next level",2002,"Bryan Smith, Meikel P�ss, Lubor Koll�r, Per-�ke Larson",conf/sigmod/PossSKL02
VLDB,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,1998,"Shivakumar Venkataraman, Tian Zhang",conf/vldb/VenkataramanZ98
VLDB,Processing Object-Oriented Queries with Invertible Late Bound Functions,1995,"Tore Risch, Staffan Flodin",conf/vldb/FlodinR95
SIGMOD Record,Combining Fuzzy Information: an Overview,2002,Ronald Fagin,journals/sigmod/Fagin02
VLDB,"NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform",2003,"Matthias Gro�mann, Thomas Schwarz, Daniela Nicklas",conf/vldb/NicklasGS03
VLDB,Incremental Clustering for Mining in a Data Warehousing Environment,1998,"Xiaowei Xu, Michael Wimmer, J�rg Sander, Martin Ester, Hans-Peter Kriegel",conf/vldb/EsterKSWX98
SIGMOD Conference,Efficient similarity search and classification via rank aggregation,2003,"Ravi Kumar, D. Sivakumar, Ronald Fagin",conf/sigmod/FaginKS03
VLDB J.,Using Extended Feature Objects for Partial Similarity Retrieval,1997,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",journals/vldb/BerchtoldKK97
VLDB J.,Composing Web services on the Semantic Web,2003,"Athman Bouguettaya, Brahim Medjahed, Ahmed K. Elmagarmid",journals/vldb/MedjahedBE03
SIGMOD Conference,IrisNet: Internet-scale Resource-Intensive Sensor Services,2003,"Amol Deshpande, Suman Kumar Nath, Phillip B. Gibbons, Srinivasan Seshan",conf/sigmod/DeshpandeNGS03a
SIGMOD Conference,Range Queries in OLAP Data Cubes,1997,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",conf/sigmod/HoAMS97
SIGMOD Conference,A Characterization of the Sensitivity of Query Optimization to Storage Access Cost Parameters,2003,"Tapas Kanungo, Frederick Reiss",conf/sigmod/ReissK03
VLDB,Online Dynamic Reordering for Interactive Data Processing,1999,"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman",conf/vldb/RamanRH99
VLDB J.,Progressive evaluation of nested aggregate queries,2000,"Cheng Hian Goh, Beng Chin Ooi, Kian-Lee Tan",journals/vldb/TanGO00
ACM Trans. Database Syst.,The INCINERATE Data Model,1995,H. V. Jagadish,journals/tods/Jagadish95
SIGMOD Record,Semantic Interoperability in Global Information Systems: A Brief Introduction to the Research Area and the Special Section,1999,"Amit P. Sheth, Aris M. Ouksel",journals/sigmod/OukselS99
SIGMOD Conference,lambda-DB: An ODMG-Based Object-Oriented DBMS,2000,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",conf/sigmod/FegarasSRM00
SIGMOD Conference,Data Access for the Masses through OLE DB,1996,Jos� A. Blakeley,conf/sigmod/Blakeley96
SIGMOD Conference,Integration of Spatial Join Algorithms for Processing Multiple Inputs,1999,"Nikos Mamoulis, Dimitris Papadias",conf/sigmod/MamoulisP99
SIGMOD Record,Report on the Mobile Search Workshop at WWW 2002,2002,"Bay-Wei Chang, Yo�lle S. Maarek, Aya Soffer",journals/sigmod/SofferMC02
SIGMOD Conference,Spatial Hash-Joins,1996,"Ming-Ling Lo, Chinya V. Ravishankar",conf/sigmod/LoR96
VLDB J.,The TV-Tree: An Index Structure for High-Dimensional Data,1994,"King-Ip Lin, H. V. Jagadish, Christos Faloutsos",journals/vldb/LinJF94
VLDB,Cumulative Updates,1994,"Beat W�thrich, Suryanarayana M. Sripada",conf/vldb/SripadaW94
SIGMOD Record,Report on the 17th Brazilian Symposium on Database Systems (SBBD 2002),2003,"Nina Edelweiss, Ana Carolina Salgado",journals/sigmod/SalgadoE03
SIGMOD Record,Accessibility of the Database Literature,2001,Richard T. Snodgrass,journals/sigmod/Snodgrass01a
SIGMOD Record,Too Much Middleware,2002,Michael Stonebraker,journals/sigmod/Stonebraker02
SIGMOD Conference,Will Database Researchers Have ANY Role in Data Security? (Panel Abstract),2001,Arnon Rosenthal,conf/sigmod/Rosenthal01
SIGMOD Conference,"50,000 Users on an Oracle8 Universal Server Database",1998,"Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee",conf/sigmod/LahiriJJC98
VLDB,Approximate Query Translation Across Heterogeneous Information Sources,2000,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",conf/vldb/ChangG00
VLDB,Media360 Workflow-Implementing a Workflow Engine Inside a Database,2000,Carsten Blecken,conf/vldb/Blecken00
SIGMOD Conference,Statistical Schema Matching across Web Query Interfaces,2003,"Bin He, Kevin Chen-Chuan Chang",conf/sigmod/HeC03
VLDB J.,Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data,1999,"Jen-Wen Ding, Yueh-Min Huang, Shiao-Li Tsao",journals/vldb/HuangDT99
ACM Trans. Database Syst.,Cache investment: integrating query optimization and distributed data placement,2000,"Donald Kossmann, Gerhard Drasch, Michael J. Franklin",journals/tods/KossmannFDA00
SIGMOD Record,Editor's Notes,1997,Michael J. Franklin,journals/sigmod/Franklin97b
SIGMOD Record,Information Director's Message,1998,Alberto O. Mendelzon,journals/sigmod/Mendelzon98
SIGMOD Record,Continuous Queries over Data Streams,2001,"Jennifer Widom, Shivnath Babu",journals/sigmod/BabuW01
SIGMOD Record,Converting Relational to Object-Oriented Databases,1997,Joseph Fong,journals/sigmod/Fong97
SIGMOD Conference,Enhancing Database Correctness: a Statistical Approach,1995,"Wen-Chi Hou, Zhongyang Zhang",conf/sigmod/HouZ95
SIGMOD Record,Constructing the Next 100 Database Management Systems,1994,"Andreas Geppert, Klaus R. Dittrich",journals/sigmod/GeppertD94
SIGMOD Conference,Efficient Computation of Iceberg Cubes with Complex Measures,2001,"Guozhu Dong, Jian Pei, Jiawei Han, Ke Wang",conf/sigmod/HanPDW01
VLDB,A Fast Index for Semistructured Data,2001,"Brian Cooper, G�sli R. Hjaltason, Michael J. Franklin, Neal Sample, Moshe Shadmon",conf/vldb/CooperSFHS01
SIGMOD Conference,A Monte Carlo algorithm for fast projective clustering,2002,"Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc",conf/sigmod/ProcopiucJAM02
SIGMOD Record,Towards a database body of knowledge: a study from Spain,2003,"Mario Piattini, Francisco Ruiz, Coral Calero",journals/sigmod/CaleroPR03
VLDB,BibFinder/StatMiner: Effectively Mining and Using Coverage and Overlap Statistics in Data Integration,2003,"Subbarao Kambhampati, Zaiqing Nie, Thomas Hernandez",conf/vldb/NieKH03
SIGMOD Conference,Software as a service: ASP and ASP aggregation,2002,Christoph Bussler,conf/sigmod/Bussler02
VLDB,CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,2000,"Gustavo Alonso, Guy Pardon",conf/vldb/PardonA00
SIGMOD Record,DIMACS Summer School Tutorial on New Frontiers in Data Mining,2001,"Nick Koudas, Dimitrios Gunopulos",journals/sigmod/GunopulosK01
VLDB,Principles of Optimally Placing Data in Tertiary Storage Libraries,1997,"Fenia Zioga, Peter Triantafillou, Stavros Christodoulakis",conf/vldb/ChristodoulakisTZ97
ACM Trans. Database Syst.,Flexible support for multiple access control policies,2001,"V. S. Subrahmanian, Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino",journals/tods/JajodiaSSS01
SIGMOD Conference,ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,1994,"C. Mohan, Inderpal Narang",conf/sigmod/MohanN94
SIGMOD Conference,Providing Better Support for a Class of Decision Support Queries,1996,"Antonio Badia, Dirk Van Gucht, Sudhir Rao",conf/sigmod/RaoBG96
VLDB,Spatio-Temporal Retrieval with RasDaMan,1999,"Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado, Andreas Dehmel",conf/vldb/BaumannDFRW99
SIGMOD Record,"TCP-D - The Challenges, Issues and Results",1996,Ramesh Bhashyam,journals/sigmod/Bhashyam96
SIGMOD Record,Reminiscences on Influential Papers,2001,"Per-�ke Larson, Luis Gravano, Stefano Ceri, Leonid Libkin, Tova Milo, Kenneth A. Ross",journals/sigmod/RossCGLLM01
