id,title,starring,entityUrl,writer,editor
421,Narco,Guillaume Canet,Match1060,"Alain Attal (story)
Philippe Lefebvre (story)
Gilles Lellouche",
422,Renegades,,Match20124,André Armandy,
423,,Shammi Kapoor,Match20205,,
424,Golden Lion,Vladimir Vujoviu0107,Match11770,Jean Ferry,
425,,Michel Duchaussoy,Match17842,Claude Chabrol,
426,Planet of the Apes,Linda Harrison,Match333,Michael Wilson (writer),
427,,Will Sanderson,Match19729,Uwe Boll,
428,Jet Lag,Sergi López,Match22816,"Daniu00E8le Thompson
Christophe Thompson",
429,,Robert Bean,Match21104,Marion Rothman,
430,,Irving Rameses Rhames,Match5117,Keoni Waxman,
431,,Heidi Van Lier as Heather,Match14130,Heidi Van Lier,
432,,Gabino Diego,Match2442,Rafael Azcona,
433,,James Stewart (actor),Match17671,Richard L. Breen,
434,Bed of Roses,Constance Campbell Bennett,Match18814,,
435,Urban Legends: Final Cut,Matthew Davis,Match20909,Paul Harris Boardman,
436,A Woman Called Golda,Ingrid Bergman,Match12370,"Harold Gast,
Steve Gethers",
437,,Bud Jamison,Match3739,Elwood Ullman,
438,Les Filles Du Botaniste,Mylène Jampanoï,Match12338,Dai Sijie,
439,,Katharine Edwina Gibbs,Match625,Karl Farkas,
440,,Kemal Sunal,Match21037,"Sinan u00C7etin 
 Gu00FClin Tokat",
441,The Dark,,Match13058,Simon Maginn,
442,A Frightful Blunder,Charles West (actor),Match12751,Edward Acker,
443,The Brothers Karamazov,Maria Schell,Match2112,Fyodor Dostoevsky,
444,Ghost Galleon,Barbara Rey,Match10929,Amando de Ossorio,
445,The Big Steal,Josu00E9 Ramu00F3n Gil Samaniego,Match21277,Daniel Mainwaring,
446,Damian'S National Lampoon's Last Resort,Demetra Hampton,D1446,Damian Lee,
447,,Brenda Fricker,Match13459,Marian Keyes,
448,The Year of Living Dangerously,Noel Ferrier,Match15892,Peter Lindsay Weir,
449,,Valéry Inkijinoff,Match18441,Werner Jörg Lüddecke,
450,Topaze,John Sidney Blyth,Match15674,Marcel Pagnol,
451,The Corsican Brothers,Shelby Fiddis,Match18053,Rikki Marin,
452,,Lance Armstrong,Match11988,,
453,,January Jones,Match22272,Guillermo Arriaga,
454,Capricorn One,Elliott Goldstein,Match1808,Peter Hyams,
455,Tristar,u5F35u767Cu5B97 (Cheung Fat Chung),Match22287,,
456,,"Yvonne Lime
Bret Halsey
Jana Lund",Match1429,"Mark Lowell
Jan Lowell",
457,,Olympia Dukakis,D1457,Trent Haaga,
458,,Donald Moffat,Match19339,Michael Crichton,
459,David and Bathsheba,James Norval Harald Justice,Match21343,Philip Dunne (writer),
460,,Emmanuelle Riva,Match21895,Claude Mauriac,
461,Southie,Donald Edmond Wahlberg,Match14031,,
462,,Jolie Peters,Match20895,Laura Cahill,
463,Der Hauptmann von Ku00F6penick,Paul Wagner,Match22763,Albrecht Joseph,
464,,Khristofor Lawl Rossianov,D1464,,
465,Invasion of the Bee Girls,Victoria Vetri,Match18561,Nicholas Meyer,
466,Insanitarium,,D1466,Jeff Buhler,
467,Zoom,Kevin Joseph Zegers,Match11125,Adam Rifkin,
468,,Raghuvaran,Match2961,S. Shankar,
469,One Hour Photo,Connie Inge-Lise Nielsen,Match4382,Mark Romanek,
470,Devils on the Doorstep,Yuan Ding,Match1322,Jiang Wen,
471,,Mimi Heinrich,Match13605,Erik Fiehn,
472,,Denise Michelle Crosby,Match22596,,
473,,Christy Carlson Romano,Match8446,Michael Walsh,
474,,Shanti Priya,Match19714,Iqbal Durrani,
475,Shall We Dansu?,Tamiyo Kusakari,Match518,Masayuki Suo,
476,,,Match11526,Alexander Dovzhenko,
477,,moe.,Match12961,moe.,
478,The Light That Failed (1939 Film),Muriel Angelus,D1478,,
479,,Joyce Irene Phipps,Match2799,Jill Craigie,
480,Shart: The Challenge,Amrita Arora,Match2745,Puri Jagannadh,
481,Escape from L.A.,Clifford Parker Robertson III,Match22036,Debra Hill,
482,Hell's Island,Mary Murphy,Match17475,Maxwell Shane,
483,,Richard Earl Thomas,Match18164,Terrence McNally,
484,,Livingston (actor),D1484,,
485,,Pongsak Pongsuwan,D1485,,
486,,Na?a Konvalinková,Match13392,Ji?í Brde?ka,
487,Babes in Arms,"Joseph Yule, Jr.",Match20863,Kay Van Riper,
488,,Shahrukh Khan,Match3328,"K. S. Adiyaman
Arun Kumar
Ashok Mehta
Reema Rakeshnath",
489,The Mighty,Sharon Vonne Stone,Match7078,Rodman Philbrick,
490,Quicksilver,Kevin Norwood Bacon,Match826,Thomas Michael Donnelly,
491,The Blue Hour,Alyssa Jayne Milano,D1491,Eric Nazarian,
492,,Alberto Sordi,Match18793,Bernardino Zapponi,
493,,Max Bing,Match4827,,
494,Perversidade,,Match1754,José Medina,
495,Metropolitan,Carolyn Farina,Match4664,Whit Stillman,
496,That's My Line,Louis John Bartels,Match10036,Roscoe Arbuckle,
497,Samurai Rebellion,Toshir? Mifune,Match20730,Shinobu Hashimoto,
498,Wolf Tracks,Hoot Gibson,Match10093,Hope Loring,
499,,John Carroll O'Connor,Match22084,Edwin O'Connor,
500,White Hunter Black Heart,"Clinton Eastwood, Jr.",Match2021,Burt Kennedy,
501,,Tabassum Hashmi,Match5492,Imtiyaz Husain,
502,,u0E40u0E01u0E28u0E23u0E34u0E19 u0E40u0E2Du0E01u0E18u0E27u0E31u0E0Au0E01u0E38u0E25,Match19690,Morakat Kaewthanek,
503,Shangoul & Mangoul,,Match4080,,
504,,Margo Sappington,D1504,,
505,0466909,Jason Flemyng,Match8025,Clive Dawson,
506,Grosse Pointe Blank,Amelia Fiona J. Driver,Match7056,John Paul Cusack,
507,,Joanne Gignilliat Trimmier Woodward,Match8321,James Goldman,
508,,Mary Philbin,Match9156,Walter Anthony,
509,The Black Gestapo,Charles Robinson,Match4945,Lee Frost,
510,Flamingo Road,Sydney Hughes Greenstreet,D1510,Edmund H. North,
511,Shell Shock,,Match18788,,
512,,Alan Marshal (actor),Match2332,Ernest Vajda,
513,The Locket,Robert Mitchum,Match1780,Sheridan Gibney,
514,The Great Dictator,Charles Chaplin,Match10750,Charles Chaplin,
515,,"Aditya
Neshtra",D1515,Haricharan Newton,
516,Allari Bullodu,Krishna bhagavan,Match4680,,
517,,Jamshad,D1517,Sujatha,
518,Rope,Cedric Webster Hardwicke,Match572,Arthur Laurents,
519,,,Match6220,Michaël Dudok De Wit,
520,Sleepstalker,Jay Underwood,Match22483,Turi Meyer,
521,New York Stories,Mae Questel,Match2762,Richard Price (writer),
522,,Dina Merrill,Match4294,Henry Ephron,
523,The Sea Wolves,Trevor Howard,Match983,Reginald Rose,
524,,,Match20607,"Sandip Ray
Satyajit Ray
Prafulla Chandra Roy",
525,Darth Vader's Psychic Hotline,"Robert E. Bean
Heather Harris
",Match2265,Lowell Cunningham,
526,Uchu00FBjin Tokyo ni arawaru,Mieko Nagai,Match19523,"Gentaro Nakajima (novel) 
 Hideo Oguni (screenplay) 
 Jay Cipes (English dialogue) 
 Edward Palmer (English dialogue)",
527,,James Francis Cagney Jr.,Match10694,Luther Davis,
528,Yellowbeard,James Neville Mason,Match22453,Graham Arthur Chapman,
529,,Joe E. Brown,Match3362,Bert Kalmar,
530,An Angel at My Table,Mark Morrison (actor),Match4547,Janet Frame,
531,Living Out Loud,Holly P. Hunter,Match17449,Richard LaGravenese,
532,,Leon Janney,Match7484,Tom Barry,
533,Get on the Bus,Roger Guenveur Smith,Match19752,Reggie Rock Bythewood,
534,"Zorro, The Gay Blade",George Hamilton (actor),Match10912,,
535,,"Two uncredited male sexual performers, and one female non-sexual performer",D1535,Oscar Wild,
536,Children of the Living Dead,Jamie McCoy,D1536,,
537,,Humphrey DeForest Bogart,Match21482,Robert Siodmak,
538,,Isha Koppikar,D1538,Jahnu Barua,
539,,Cuba Gooding Jr.,Match10054,Jere Cunningham,
540,,Carlos Cores,Match17041,Guillermo Haro,
541,,Yvonne Wilder,Match21792,Tim Conway,
542,,Barbara Harris (actress),Match16437,Neil Simon,
543,,Jim Davis,Match5598,Carl K. Hittleman,
544,,Johnny Lever,Match3148,,
545,Greedy,Michael Andrew Fox,Match17025,Babaloo Mandel,
546,,Ravi,D1546,,
547,,Alfredo James Pacino,Match16815,Richard Price (writer),
548,,Radha,Match6353,,
549,The Straight and Narrow,Oliver Hardy,Match17335,,
550,"China 9, Liberty 37",Warren Mercer Oates,Match9161,Vicente Escrivá Soriano,
551,Nala Damayanthi,Nassar,Match408,Mouli,
552,,Angharad Rees,Match9831,L.W. Davidson,
553,Snow White and the Seven Dwarfs,Adriana Caselotti,Match1702,Ted Sears,
554,Hedwig and the Angry Inch,Michael Pitt,Match7195,Stephen Trask,
555,"Ghidorah, the Three-Headed Monster",Hiroshi Koizumi,Match1255,Shinichi Sekizawa,
556,Arabesque,Harold Kasket,Match3843,Julian Mitchell,
557,,"Marlon Brando, Jr.",Match19707,Francis Ford Coppola,
558,What Women Want,Ashley Johnson,Match10756,Cathy Yuspa,
559,The Fortune,John Joseph Nicholson,Match19887,Carole Eastman,
560,Re-Animator,Bruce Paul Abbott,Match1378,William Norris,
561,,Morris Chestnut,Match10095,Lawrence Roman,
562,,David Huffman,Match7048,,
563,,Philip St. John Basil Rathbone,Match9841,"Arthur Conan Doyle (characters)
Bertram Millhauser",
564,,Jason Beghe,Match14693,Susan Rice,
565,,Tony Hawks,D1565,Robert Llewellyn,
566,Stephen Tobolowsky's Birthday Party,Stephen Harold Tobolowsky,Match8768,,
567,,Paul Chun (actor),Match4634,Yin Nam,
568,,George Koutouzis,Match8723,Alexis Damianos,
569,,Adam Williams,Match4180,William Raynor,
570,,Thandiwe Adjewa Newton,Match7617,Clare Peploe,
571,He Would a Hunting Go,Roscoe Arbuckle,Match6028,,
572,Special Delivery,,Match13910,"Eunice Macaulay
John Weldon",
573,Gertrud,Baard Owe,Match10523,Hjalmar Söderberg,
574,,Michael Trucco,Match8491,"John Benjamin Martin 
 Peter Atkins (characters)",
575,Monster Night,Jake Thomas,D1575,Damián Romay,
576,Scavenger Hunt,Cleavon Jake Little,Match7375,"Henry Harper
John Thomson
Steven Vail
Gerry Woolery",
577,From the Earth to the Moon,George Sanders,Match16108,James Leicester,
578,Dark Days,,Match15655,,
579,Shooter,Danny Lebern Glover,Match10519,Stephen Hunter,
580,The Pledge,Benicio Monserrate Rafael del Toro Su00E1nchez,Match6898,Mary Olson-Kromolowski,
581,Luke and the Rural Roughnecks,Harold Lloyd,Match16654,,
582,,Santhanam,D1582,Abburi Ravi,
583,,Britt McKillip,D1583,Stephen Godchaux,
584,Booty Call,Tommy Davidson,Match10658,"Takashi Bufford
J. Stanford Parker",
585,Falling in Love,Mary Louise Streep,Match848,Michael Cristofer,
586,The Dead Zone,Ramu00F3n Gerardo Antonio Estu00E9vez,Match9317,Jeffrey Boam,
587,,,Match7731,"Kinji Fukasaku
 Sadao Nakajima (own segment)
 Tatsuo Nogami (screenplay)
 Shiro Ozaki (novel)
 Junya Sato",
588,,Dieter Plage,Match4880,Werner Herzog,
589,,Jack Richardson (actor),Match6186,Marc Edmund Jones,
590,Suite Habana,Francisco Cardet,Match10432,Fernando Pu00E9rez,
591,,Sara Simmonds,Match1688,Nathan Todd Sims,
592,,Rodrigo Junqueira dos Reis,D1592,,
593,,Sandrine Holt,Match4833,Andrew C. Erin,
594,,Timothy Bottoms,Match9677,Peter Bogdanovich,
595,His Private Secretary,Evalyn Knapp,Match14246,"Lewis D. Collins 
 Jack Natteford",
596,,Kishore Kumar,Match124,,
597,,Shalini,D1597,,
598,Filmfare Best Movie Award,Jatin Khanna,Match4424,,
599,In the Valley of Elah,Charlize Theron,D1599,Paul Edward Haggis,
600,Funeral Parade of Roses,Peter (actor),Match868,Toshio Matsumoto,
601,,Glenn Allen,Match5241,Thomas Mercer,
602,Tjenare kungen,Josefin Neldén,Match19047,Anna Fredriksson,
603,The Lost World,William Fox,Match10310,Adrian Hodges,
604,Eagle vs Shark,Craig Hall,D1604,Taika Waititi,
605,Applause,Helen Morgan,Match10431,Garrett Fort,
606,,Roderick Andrew Anthony Jude McDowall,Match686,Peter S. Fischer,
607,King of the Jungle,Rosa Maru00EDa Pu00E9rez,Match12429,Seth Zvi Rosenfeld,
608,City of Ghosts,Natascha Taylor,Match1436,Barry Gifford,
609,Don,Anushka Shetty,D1609,Abburi Ravi,
610,Perdita Durango,James R. Gandolfini,Match12118,Alex de la Iglesia,
611,,Sam Hui,D1611,,
612,,"Pablo Tendilla Ortiz (Indio), Pablo Tendilla Rocha (Jhonny), Aidee Gonzalez (Rebecca), Darina Rabago Soto (Brianda)",Match15598,"Dylan Verrechia, James Lefkowitz",
613,Comic Book Confidential,Frank Miller (comics),Match1218,Ron Mann,
614,Penelope,Peter Dinklage,Match9112,Leslie Caveny,
615,,Reginald Carey Harrison,Match12014,Val Valentine,
616,,Shatrughan Sinha,Match11810,Talat Jani,
617,,Shweta Konnur,D1617,K. Balachandar,
618,Message in a Bottle,Robin Gayle Wright,Match8292,Gerald Di Pego,
619,Honey Glaze,Sideshow Cinema#James O'Brien,Match5909,Michael Legge (filmmaker),
620,Une histoire d'eau,Caroline Dim,Match9878,"Franu00E7ois Truffaut
Jean-Luc Godard",
621,,Elizabeth Rosemond Taylor,Match2203,Ruben Sax,
622,,Betta St. John,Match2367,Herbert Baker,
623,,Swoosie Kurtz,Match8260,Andrew Klavan,
624,Peesua lae dokmai,"Suriya Yaowasang
Vasana Polyiem",Match14567,Euthana Mukdasanit,
625,,Clark Lohr and Carolyn Owen,D1625,Steven Allan Spielberg,
626,,Hema Malini,Match7255,,
627,The Last Wagon,Nick Adams,Match13888,James Edward Grant,
628,A Lizard in a Woman's Skin,"Florinda Bolkan
Stanley Baker
Jean Sorel",Match5823,Lucio Fulci,
629,,Paul Montgomery Shore,Match1695,Stu Krieger,
630,Baby Doll,Eli Wallach,Match16216,Tennessee Williams,
631,Le Retour de Martin Guerre,Roger Planchon,Match2403,Jean-Claude Carrière,
632,Night at the Museum,William Cobbs,Match11213,Screenplay,Don Zimmerman
633,,Gigi Perreau,Match4218,David L. Hewitt,
634,,Prithviraj Sukumaran,Match10724,Sunil Parameswar,
635,,Sven-Ole Thorsen,Match12241,Damian Lee,
636,A Little Sex,Edward Herrmann,Match10136,Robert De Laurentiis,
637,Flags of Our Fathers,"John M. Slattery, Jr.",Match14803,"William Broyles, Jr.",
638,,Constance Broman,D1638,Greg McCarty,
639,Spring in a Small Town,Zhang Hongmei,Match10483,Li Tianji,
640,Madame Curie,Walter Davis Pidgeon,Match7092,Paul Osborn,
641,Frogs,Judy Pace,Match2469,Robert Blees,
642,Frankenstein Meets the Wolf Man,Ilona Hajmu00E1ssy,D1642,Curt Siodmak,
643,,Eddie Bracken,D1643,,
644,,Hans Peter Hallwachs,Match1477,Volker Schlöndorff,
645,,Gabriel Mann (actor),Match10884,John G. Young,
646,,Jatin Khanna,Match676,,
647,The Weak and the Wicked,Diana Mary Fluck,D1647,,
648,,Nicholas Kim Coppola,Match7852,David Keith Lynch,
649,,Madiha Shah,D1649,Rukhsana Noor,
650,Howard the Duck,Jeffrey Duncan Jones,Match15166,Stephen Ross Gerber,
651,The Family Secret,Frank Currier,Match22205,Augustus E. Thomas,
652,,Tiaré Scanda,Match5849,Alfonso Albacete,
653,The Return of Swamp Thing,Louis Jourdan,Match22094,Grant Morris,
654,Freedom Comes High,,D1654,,
655,The Wasp,Hugh Bennett,Match1120,,
656,Vai que u00E9 Mole,Jô Soares,Match11735,"Edgar G. Alves
J.B. Tanko",
657,,Yannick Bisson,Match574,Jeff Maguire,
658,,Jessica Stevenson,D1658,Garth Jennings,
659,The Children of Huang Shi,Jonathan Rhys-Meyers,D1659,James MacManus,
660,Attack Force Z,Mel Gibson,Match15406,Roger Marshall,
661,,Daria Nicolodi,D1661,Adam Gierasch,
662,,John William DiMaggio,D1662,Eric Kaplan,
663,,Ong-art Ponethon,D1663,Khamsing Srinawk,
664,Serial (film),,Match5884,,
665,,Michael Caton,D1665,Stewart Faichney,
666,Punks,Devon Odessa,Match13996,,
667,Teenage Catgirls in Heat,"Dave Cox
Esmeralda Huffhines
Gary Graves
Helen Griffiths
Carrie Vanston",Match8047,"Scott Perry
Grace Smith",
668,The Punisher,Dominic West,D1668,Kurt Sutter,
669,The Agent,Oliver Hardy,Match10091,"Tom Buckingham
Larry Semon",
670,,Patricia Adriani,Match7290,Fernando Fernán Gómez,
671,,George Montgomery Letz,Match9561,Edward Mann,
672,Voices of Iraq,People of Iraq,Match20762,,
673,Twin Flats,Oliver Hardy,Match16781,,
674,CJ7,Chan Kwok Kuen,D1674,Stephen Chow,
675,The Sign of the Cross,Charles Laughton,Match15547,Wilson Barrett,
676,Glass Bottom Boat,Doris Day,Match7149,Everett Freeman,
677,Stewardess School,Wendie Jo Sperber,Match6513,Ken Blancato,
678,Heartbreak Hotel,Tuesday Weld,Match13623,Chris Columbus,
679,Il Commisario Pepe,Marianne Comtell,Match11447,Ruggero Maccari,
680,Talk Radio,Leslie Hope,Match1167,William Oliver Stone,
681,Broken Oath,Chan Wai-Man,Match10026,,
682,,Jerome Lester Horwitz,Match6882,Felix Adler,
683,The Manxman,Anny Ondra,Match21397,Eliot Stannard,
684,,Daniel Michael DeVito Jr.,Match5952,Norman Steinberg,
685,u00C9lisa,Florence Thomassin,Match1187,Jean Becker,
686,Toolbox Murders,Juliet Rose Landau,D1686,,
687,,Olivia Mary de Havilland,Match6795,Norman Krasna,
688,Kamulah Satu-Satunya,Nirina Zubir,D1688,Hanung Bramantyo,
689,,,Match22584,Abrams Klezkins,
690,,Barry Bostwick,Match9670,Jim Kammerud,
691,,Ronald Reagan,D1691,,
692,Lovers' Post Office,Roscoe Arbuckle,Match20876,,
693,Hold That Ghost,William Alexander Abbott,Match7389,Fred Rinaldo,
694,Rumor Has It,Mark Alan Ruffalo,Match11714,Ted Griffin,
695,,Picone,Match8219,Giambattista Avellino,
696,The Brother from Another Planet,Joe Morton,Match17029,John Sayles,
697,Journey to Lasta,"Tsegaye B. Selassie 

Kirubel Assefa 

Teferi Assefa     

Johnny Ashenafi      

Jessica Beshir  
    
Tsehaie Kidane      

Abbey Lessanu 

Scott F. Evans 

Ras Michael",Match20281,Wondwossen D. Dikran,
698,"Sleep, My Love",Charles Clarence Robert Orville Cummings,Match13647,St. Clair McKelway,
699,My Man Godfrey,William Horatio Powell,Match18626,Gregory La Cava,
700,,Wataru Takagi,Match18571,Kazunari Kochi,
701,La sconosciuta,Kseniya Rappoport,D1701,Giuseppe Tornatore,
702,,Guy Edward Pearce,D1702,Tony Grisoni,
703,Dark Matter,Mary Louise Streep,D1703,Billy Shebar,
704,Torremolinos 73,Javier Cámara,Match22778,Pablo Berger,
705,Pipe Dreams,Kate Price (actor),Match8429,,
706,Hell's Angels,James Hall (actor),Match22359,Harry Behn,
707,Serial (film),,D1707,,
708,Chain Reaction,Morgan Freeman,Match13790,,
709,Dog Park,Luke Cunningham Wilson,Match13289,Bruce McCulloch,
710,This Property Is Condemned,Kate Daphne Reid,Match7220,Edith Sommer,
711,Kshatriya,Vinod Khanna,Match14020,J.P. Dutta,
712,Ben Hur,William Surrey Hart,Match21852,Gene Gauntier,
713,,Martin Alan Feldman,Match9400,Barry Levinson,
714,Screamplay,George Kuchar,Match20101,"Ed Greenberg
Rufus Butler Seder",
715,,Arthur Andrew Kelm,Match20415,John Tomerlin,
716,Quicksand9,Jeanne Cagney,Match19434,,
717,The Paper Chase,Timothy Bottoms,Match14147,James Bridges,
718,Mutiny on the Bounty,Eddie Quillan,Match17401,James Norman Hall,
719,Will Success Spoil Rock Hunter?,Vera Jayne Palmer,Match20583,George Axelrod,
720,The Human Stain,Nicole Mary Kidman,Match19654,Philip Roth,
721,"Honey, We Shrunk Ourselves",Frederick Alan Moranis,Match19197,Karey Kirkpatrick,
722,Species: The Awakening,Dominic Keating,D1722,Ben Ripley,
723,A Question of Honor,Jack Richardson (actor),Match19881,,
724,,Law Kar-Ying,Match9235,Jeffrey Lau,
725,Animal Crackers,Groucho Marx,Match20300,George S. Kaufman,
726,For Heaven's Sake,Joan Geraldine Bennett,Match19363,Harry Segall,
727,,William Boyd,Match19139,Don Mancini,
728,Summer School,Robin Thomas,Match14886,David Dashev,
729,Freedom Downtime,,Match14163,,
730,Soul Man,Leslie William Nielsen,Match19971,Carol Black,
731,The Reaping,Graham Rea,D1731,Carey Hayes,
732,,Raghuvaran,D1732,Ramana,
733,Senseless,Bradford Claude Dourif,Match5817,Craig Mazin,
734,Old Offenders,Henry DeWitt Carey II,Match17834,,
735,,Rati Agnihotri,Match17836,,
736,"Ritual dos Su00E1dicos, O",José Mojica Marins,Match22633,Rubens F. Lucchetti,
737,Wesley Willis: The Daddy of Rock 'n' Roll,Wesley Willis,Match17326,,
738,Why We Fight,Richard Perle,Match6510,Eugene Jarecki,
739,La Promesse,Assita Ouedraogo,Match18644,Luc Dardenne,
740,,Ian McCulloch,Match16897,Luigi Cozzi,
741,,Donna Anders,Match13132,Bob Kelljan,
742,Viruddh... Family Comes First,Sharmila Tagore,Match18009,Mahesh Manjrekar,
743,To Walk with Lions,Richard St.  John Harris,D1743,,
744,,Atul Kulkarni,D1744,,
745,State of Grace,John Michael Turturro,Match11636,Dennis McIntyre,
746,Jaws: The Revenge,Mario Van Peebles,Match18556,Michael De Guzman,
747,Chamatkar,,Match7812,,
748,Title,Kristen Carroll Wiig,D1748,Paul Schneider,
749,Infernal Affairs III,Eric Tsang,Match14805,Felix Chong,
750,The Cardinal,Tom Tryon,Match16189,Robert Dozier,
751,,Patrick Galen Dempsey,Match18783,George Mendeluk<BR/>Bradley Kesden<BR/>Michael Paseornek,
752,Mischief,Doug McKeon,Match14879,Noel Black,
753,,Han Suk-kyu,Match21615,,
754,,Brigitte Mira,Match8018,Heinrich Zille,
755,Vampires,Maximilian Schell,Match6730,John Steakley,
756,Savage Guns,Robert Woods,Match21527,,
757,,,Match13602,Dziga Vertov,
758,,Rehman,Match20726,,
759,"Angel (""Tian shi xing dong"")",Yukari Oshima,Match12855,Teresa Woo,
760,One True Thing,Mary Louise Streep,Match16750,Karen Croner,
761,Safe,Julie Anne Smith,Match15900,Todd Haynes,
762,Keeping Mum,Emilia Rose Elizabeth Fox,Match20287,Richard Russo,
763,Hinokio,Kanata Hongo,Match6340,Shoji Yonemura,
764,Alraune,Géza Erdélyi,Match6798,Richárd Falk,
765,ABBA: The Movie,Anni-Frid Lyngstad,Match8313,Lars Hallstru00F6m,
766,,Norman D. Golden II,Match8034,Arne Olsen,
767,Venky,Suhasini Rajaram Naidu,Match15220,Srinu Vaitla,
768,The Heroes,Oliver Hardy,Match18479,,
769,The Right Way,Jefferson Brown,Match6428,Mark Penney,Kevin Rollins
770,,John Hubbard,Match16918,Neil P. Varnick (story),
771,Dr. Phibes Rises Again,"Vincent Leonard Price, Jr.",Match6531,Robert Fuest,
772,License to Wed,DeRay Davis,Match7856,Vince Di Meglio,
773,,Sangeeta,Match20449,,
774,Baykot,Majid Majidi,Match7982,,
775,,Göktürk Güney,Match8216,Atif Yilmaz,
776,A Smoky Mountain Christmas,Harvey Lee Yeary,Match17132,"William Bleich
Dolly Parton",
777,,Phyllis Thaxter,Match13449,Everett Freeman,
778,"Captain Newman, M.D.",Eldred Gregory Peck,Match14417,Henry Ephron,
779,,Joe Silver,Match17012,Patricia Thackray,
780,,Dermot Mulroney,Match17230,Topper Lilien,
781,,John Archer (actor),Match19957,Gerald Schnitzer,
782,Shit Happens,Kristoffer Joner,Match21896,Morten Hovland,
