authors,venue,title,year,entityUrl
"Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson",SIGMOD Conference,"Replication, Consistency, and Practicality: Are These Mutually Exclusive?",1998,conf/sigmod/AndersonBKW98
"Hans-Arno Jacobsen, Haifeng Liu",VLDB,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,2002,conf/vldb/LiuJ02
"Marco Patella, Paolo Ciaccia",ACM Trans. Database Syst.,Searching in metric spaces with user-defined and approximate distances,2002,journals/tods/CiacciaP02
"Leonid Libkin, Inderpal Singh Mumick, Latha S. Colby, Howard Trickey, Timothy Griffin",SIGMOD Conference,Algorithms for Deferred View Maintenance,1996,conf/sigmod/ColbyGLMT96
"Stavros Christodoulakis, Nikos Pappas",VLDB,Design and Development of a Stream Service in a Heterogenous Client Environment,2000,conf/vldb/PappasC00
"Wai Fu Fung, David Sun, Johannes Gehrke",SIGMOD Conference,COUGAR: the network is the database,2002,conf/sigmod/FungSG02
"David Maier, Peter Buneman",SIGMOD Conference,The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,1995,conf/sigmod/BunemanM95
"Christian S. Jensen, Kristian Torp, Richard T. Snodgrass",VLDB J.,Effective Timestamping in Databases,2000,journals/vldb/TorpJS00
"Dan Suciu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima",ACM Trans. Database Syst.,SilkRoute: A framework for publishing relational data in XML,2002,journals/tods/FernandezKSMT02
"Dimitris Papadias, Jimeng Sun, Yufei Tao",VLDB,The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries,2003,conf/vldb/PapadiasTS03
Jennifer Widom,SIGMOD Record,Editor's Notes,1996,journals/sigmod/Widom96b
"Yannis Velegrakis, Lucian Popa, Ren�e J. Miller",VLDB,Mapping Adaptation under Evolving Schemas,2003,conf/vldb/VelegrakisMP03
"Gang Qian, Qiang Xue, Sakti Pramanik, Qiang Zhu",VLDB,The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,2003,conf/vldb/QianZXP03
Arvola Chan,SIGMOD Conference,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,1998,conf/sigmod/Chan98
"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",SIGMOD Conference,Exploiting Constraint-Like Data Characterizations in Query Optimization,2001,conf/sigmod/GodfreyGXZ01
"A. A. Diwan, S. Sudarshan, Sanjeeva Rane, S. Seshadri",VLDB,Clustering Techniques for Minimizing External Path Length,1996,conf/vldb/DiwanRSS96
Warren Sterling,VLDB,The National Medical Knowledge Bank,1998,conf/vldb/Sterling98
"Vijay Atluri, Anupam Joshi, Yelena Yesha",VLDB J.,Guest editorial,2003,journals/vldb/AtluriJY03
"Philip S. Yu, Charu C. Aggarwal",VLDB,An Automated System for Web Portal Personalization,2002,conf/vldb/AggarwalY02
"Fran�oise Fabret, Dennis Shasha, Hans-Arno Jacobsen, Fran�ois Llirbat, Jo�o Pereira",VLDB,WebFilter: A High-throughput XML-based Publish and Subscribe System,2001,conf/vldb/PereiraFJLS01
"Denis Gouin, Henry Kucera, Christian Larouche, Gilles Clement, Paul Morin",SIGMOD Record,OGDI: Toward Interoperability among Geospatial Databases,1997,journals/sigmod/ClementLGMK97
Michael J. Franklin,SIGMOD Record,Editor's Notes,2000,journals/sigmod/Franklin00
"Ambuj K. Singh, Kothuri Venkata Ravi Kanth, Divyakant Agrawal",SIGMOD Conference,Dimensionality Reduction for Similarity Searching in Dynamic Databases,1998,conf/sigmod/KanthAS98
"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,Push Technology Personalization through Event Correlation,2000,conf/vldb/AdiBEY00
Amy Pogue,VLDB,Oracle Industrial Exhibit,1998,conf/vldb/Pogue98
"Khaled Alsabti, Vineet Singh, Sanjay Ranka",VLDB,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,1997,conf/vldb/AlsabtiRS97
Ling Liu,SIGMOD Record,Editor's Notes,2001,journals/sigmod/Liu01a
"Ren�e J. Miller, Ronald Fagin, Yannis Velegrakis, Mauricio A. Hern�ndez, Lucian Popa",VLDB,Translating Web Data,2002,conf/vldb/PopaVMHF02
Philip A. Bernstein,SIGMOD Conference,Repository System Engineering,1996,conf/sigmod/Bernstein96
"Z. Meral �zsoyoglu, Stefano Ceri, Victor Vianu, Masaru Kitsuregawa, Leonid A. Kalinichenko, Hongjun Lu, Richard T. Snodgrass",SIGMOD Record,SIGMOD Sister Societies,2000,journals/sigmod/CeriKKLOSV00
"Michael Gertz, Can T�rker",VLDB J.,Semantic integrity support in SQL: 1999 and commercial (object-)relational database management systems,2001,journals/vldb/TurkerG01
"Alfons Kemper, Donald Kossmann",VLDB J.,"Adaptable Pointer Swizzling Strategies in Object Bases: Design, Realization, and Quantitative Analysis",1995,journals/vldb/KemperK95
Paul Cotton,SIGMOD Conference,Implementing XQuery,2002,conf/sigmod/Cotton02
"Soumen Chakrabarti, Byron Dom, Sunita Sarawagi",VLDB,Mining Surprising Patterns Using Temporal Description Length,1998,conf/vldb/ChakrabartiSD98
"Like Gao, Xiaoyang Sean Wang",SIGMOD Conference,Continually evaluating similarity-based pattern queries on a streaming time series,2002,conf/sigmod/GaoW02
"Dimitrios Gunopulos, Nick Koudas, Divesh Srivastava, Michail Vlachos, Sudipto Guha",VLDB,Efficient Approximation Of Optimization Queries Under Parametric Aggregation Constraints,2003,conf/vldb/KoudasGGSV03
"Kotagiri Ramamohanarao, David B. Kemp, Jayen Vaghani, Tim S. Leask, James Harland, Peter J. Stuckey, Zoltan Somogyi",VLDB J.,The Aditi Deductive Database System,1994,journals/vldb/VaghaniRKSSLH94
"Vivek R. Narasayya, Surajit Chaudhuri, Rajeev Motwani",SIGMOD Conference,On Random Sampling over Joins,1999,conf/sigmod/ChaudhuriMN99
"Paolo Ciaccia, Florian Waas, Ilaria Bartolini",VLDB,FeedbackBypass: A New Approach to Interactive Similarity Query Processing,2001,conf/vldb/WaasCB01
"Maria Luisa Sapino, Sibel Adali, V. S. Subrahmanian",SIGMOD Conference,A Multimedia Presentation Algebra,1999,conf/sigmod/AdaliSS99
"Letizia Tanca, Piero Fraternali",ACM Trans. Database Syst.,A Structured Approach for the Definition of the Semantics of Active Databases,1995,journals/tods/FraternaliT95
Peter Baumann,VLDB,"Large-Scale, Standards-Based Earth Observation Imagery and Web Mapping Services",2003,conf/vldb/Baumann03
"Kaizhong Zhang, Jason Tsong-Li Wang, Bruce A. Shapiro, Thomas G. Marr, Gung-Wei Chirn, Dennis Shasha",SIGMOD Conference,Combinatorial Pattern Discovery for Scientific Data: Some Preliminary Results,1994,conf/sigmod/WangCMSSZ94
"David J. DeWitt, Jignesh M. Patel",SIGMOD Conference,Partition Based Spatial-Merge Join,1996,conf/sigmod/PatelD96
"Christoph Schuler, Hans-J�rg Schek, Patrick Neukomm, Roger Weber, Heiko Schuldt",VLDB,WebService Composition with O'GRAPE and OSIRIS,2003,conf/vldb/WeberSNSS03
"Daniel A. Keim, Alexander Hinneburg",VLDB,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,1999,conf/vldb/KeimH99
"Silke Mittrach, Gunter Schlageter, Thomas Berkel, Andreas Scherer, Eberhard Heuel, Wolfgang Wilkes",SIGMOD Record,The Database Group at University of Hagen (FernUniversitaet),1995,journals/sigmod/SchlageterBHMSW95
"Antonios Deligiannakis, Nick Roussopoulos",SIGMOD Conference,Extended Wavelets for Multiple Measures,2003,conf/sigmod/DeligiannakisR03
"Nathan Folkert, Abhinav Gupta, Andrew Witkowski, Srikanth Bellamkonda, Lei Sheng, Tolga Bozkaya, Sankar Subramanian",VLDB,Business Modelling Using SQL Spreadsheets,2003,conf/vldb/WitkowskiBBFGSS03
"Thomas Seidl, Hans-Peter Kriegel",SIGMOD Conference,Optimal Multi-Step k-Nearest Neighbor Search,1998,conf/sigmod/SeidlK98
Charu C. Aggarwal,SIGMOD Conference,"Hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",2002,conf/sigmod/Aggarwal02
"Shahram Ghandeharizadeh, Doug Fang",VLDB J.,An Experimental System for Object-Based Sharing in Federated Databases,1996,journals/vldb/FangGM96
Kenneth Moore,SIGMOD Conference,The Lotus Notes Storage System,1995,conf/sigmod/Moore95
"Bernd Amann, Serge Abiteboul, J�r�me Baumgarten, Omar Benjelloun, Tova Milo, Frederic Dang Ngoc",VLDB,Schema-driven Customization of Web Services,2003,conf/vldb/AbiteboulABBNM03
"Christos A. Polyzois, Hector Garcia-Molina",ACM Trans. Database Syst.,Evaluation of Remote Backup Algorithms for Transaction-Processing Systems,1994,journals/tods/PolyzoisG94
Ren�e J. Miller,SIGMOD Conference,Using Schematically Heterogeneous Structures,1998,conf/sigmod/Miller98
"Donald Kossmann, Alfons Kemper, Christian Wiesner",VLDB,Generalised Hash Teams for Join and Group-by,1999,conf/vldb/KemperKW99
"Bryan Smith, Meikel P�ss, Lubor Koll�r, Per-�ke Larson",SIGMOD Conference,"TPC-DS, taking decision support benchmarking to the next level",2002,conf/sigmod/PossSKL02
"Shivakumar Venkataraman, Tian Zhang",VLDB,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,1998,conf/vldb/VenkataramanZ98
"Tore Risch, Staffan Flodin",VLDB,Processing Object-Oriented Queries with Invertible Late Bound Functions,1995,conf/vldb/FlodinR95
Ronald Fagin,SIGMOD Record,Combining Fuzzy Information: an Overview,2002,journals/sigmod/Fagin02
"Matthias Gro�mann, Thomas Schwarz, Daniela Nicklas",VLDB,"NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform",2003,conf/vldb/NicklasGS03
"Xiaowei Xu, Michael Wimmer, J�rg Sander, Martin Ester, Hans-Peter Kriegel",VLDB,Incremental Clustering for Mining in a Data Warehousing Environment,1998,conf/vldb/EsterKSWX98
"Ravi Kumar, D. Sivakumar, Ronald Fagin",SIGMOD Conference,Efficient similarity search and classification via rank aggregation,2003,conf/sigmod/FaginKS03
"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",VLDB J.,Using Extended Feature Objects for Partial Similarity Retrieval,1997,journals/vldb/BerchtoldKK97
"Athman Bouguettaya, Brahim Medjahed, Ahmed K. Elmagarmid",VLDB J.,Composing Web services on the Semantic Web,2003,journals/vldb/MedjahedBE03
"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",SIGMOD Conference,Range Queries in OLAP Data Cubes,1997,conf/sigmod/HoAMS97
"Tapas Kanungo, Frederick Reiss",SIGMOD Conference,A Characterization of the Sensitivity of Query Optimization to Storage Access Cost Parameters,2003,conf/sigmod/ReissK03
"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman",VLDB,Online Dynamic Reordering for Interactive Data Processing,1999,conf/vldb/RamanRH99
"Cheng Hian Goh, Beng Chin Ooi, Kian-Lee Tan",VLDB J.,Progressive evaluation of nested aggregate queries,2000,journals/vldb/TanGO00
H. V. Jagadish,ACM Trans. Database Syst.,The INCINERATE Data Model,1995,journals/tods/Jagadish95
"Amit P. Sheth, Aris M. Ouksel",SIGMOD Record,Semantic Interoperability in Global Information Systems: A Brief Introduction to the Research Area and the Special Section,1999,journals/sigmod/OukselS99
"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",SIGMOD Conference,lambda-DB: An ODMG-Based Object-Oriented DBMS,2000,conf/sigmod/FegarasSRM00
Jos� A. Blakeley,SIGMOD Conference,Data Access for the Masses through OLE DB,1996,conf/sigmod/Blakeley96
"Nikos Mamoulis, Dimitris Papadias",SIGMOD Conference,Integration of Spatial Join Algorithms for Processing Multiple Inputs,1999,conf/sigmod/MamoulisP99
"Bay-Wei Chang, Yo�lle S. Maarek, Aya Soffer",SIGMOD Record,Report on the Mobile Search Workshop at WWW 2002,2002,journals/sigmod/SofferMC02
"Ming-Ling Lo, Chinya V. Ravishankar",SIGMOD Conference,Spatial Hash-Joins,1996,conf/sigmod/LoR96
"King-Ip Lin, H. V. Jagadish, Christos Faloutsos",VLDB J.,The TV-Tree: An Index Structure for High-Dimensional Data,1994,journals/vldb/LinJF94
"Beat W�thrich, Suryanarayana M. Sripada",VLDB,Cumulative Updates,1994,conf/vldb/SripadaW94
"Nina Edelweiss, Ana Carolina Salgado",SIGMOD Record,Report on the 17th Brazilian Symposium on Database Systems (SBBD 2002),2003,journals/sigmod/SalgadoE03
Richard T. Snodgrass,SIGMOD Record,Accessibility of the Database Literature,2001,journals/sigmod/Snodgrass01a
Michael Stonebraker,SIGMOD Record,Too Much Middleware,2002,journals/sigmod/Stonebraker02
Arnon Rosenthal,SIGMOD Conference,Will Database Researchers Have ANY Role in Data Security? (Panel Abstract),2001,conf/sigmod/Rosenthal01
"Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee",SIGMOD Conference,"50,000 Users on an Oracle8 Universal Server Database",1998,conf/sigmod/LahiriJJC98
"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB,Approximate Query Translation Across Heterogeneous Information Sources,2000,conf/vldb/ChangG00
Carsten Blecken,VLDB,Media360 Workflow-Implementing a Workflow Engine Inside a Database,2000,conf/vldb/Blecken00
"Bin He, Kevin Chen-Chuan Chang",SIGMOD Conference,Statistical Schema Matching across Web Query Interfaces,2003,conf/sigmod/HeC03
"Jen-Wen Ding, Yueh-Min Huang, Shiao-Li Tsao",VLDB J.,Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data,1999,journals/vldb/HuangDT99
"Donald Kossmann, Gerhard Drasch, Michael J. Franklin",ACM Trans. Database Syst.,Cache investment: integrating query optimization and distributed data placement,2000,journals/tods/KossmannFDA00
Michael J. Franklin,SIGMOD Record,Editor's Notes,1997,journals/sigmod/Franklin97b
Alberto O. Mendelzon,SIGMOD Record,Information Director's Message,1998,journals/sigmod/Mendelzon98
"Jennifer Widom, Shivnath Babu",SIGMOD Record,Continuous Queries over Data Streams,2001,journals/sigmod/BabuW01
Joseph Fong,SIGMOD Record,Converting Relational to Object-Oriented Databases,1997,journals/sigmod/Fong97
"Wen-Chi Hou, Zhongyang Zhang",SIGMOD Conference,Enhancing Database Correctness: a Statistical Approach,1995,conf/sigmod/HouZ95
"Andreas Geppert, Klaus R. Dittrich",SIGMOD Record,Constructing the Next 100 Database Management Systems,1994,journals/sigmod/GeppertD94
"Guozhu Dong, Jian Pei, Jiawei Han, Ke Wang",SIGMOD Conference,Efficient Computation of Iceberg Cubes with Complex Measures,2001,conf/sigmod/HanPDW01
"Brian Cooper, G�sli R. Hjaltason, Michael J. Franklin, Neal Sample, Moshe Shadmon",VLDB,A Fast Index for Semistructured Data,2001,conf/vldb/CooperSFHS01
"Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc",SIGMOD Conference,A Monte Carlo algorithm for fast projective clustering,2002,conf/sigmod/ProcopiucJAM02
"Mario Piattini, Francisco Ruiz, Coral Calero",SIGMOD Record,Towards a database body of knowledge: a study from Spain,2003,journals/sigmod/CaleroPR03
"Subbarao Kambhampati, Zaiqing Nie, Thomas Hernandez",VLDB,BibFinder/StatMiner: Effectively Mining and Using Coverage and Overlap Statistics in Data Integration,2003,conf/vldb/NieKH03
Christoph Bussler,SIGMOD Conference,Software as a service: ASP and ASP aggregation,2002,conf/sigmod/Bussler02
"Gustavo Alonso, Guy Pardon",VLDB,CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,2000,conf/vldb/PardonA00
"Nick Koudas, Dimitrios Gunopulos",SIGMOD Record,DIMACS Summer School Tutorial on New Frontiers in Data Mining,2001,journals/sigmod/GunopulosK01
"Fenia Zioga, Peter Triantafillou, Stavros Christodoulakis",VLDB,Principles of Optimally Placing Data in Tertiary Storage Libraries,1997,conf/vldb/ChristodoulakisTZ97
"V. S. Subrahmanian, Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino",ACM Trans. Database Syst.,Flexible support for multiple access control policies,2001,journals/tods/JajodiaSSS01
"C. Mohan, Inderpal Narang",SIGMOD Conference,ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,1994,conf/sigmod/MohanN94
"Antonio Badia, Dirk Van Gucht, Sudhir Rao",SIGMOD Conference,Providing Better Support for a Class of Decision Support Queries,1996,conf/sigmod/RaoBG96
"Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado, Andreas Dehmel",VLDB,Spatio-Temporal Retrieval with RasDaMan,1999,conf/vldb/BaumannDFRW99
Ramesh Bhashyam,SIGMOD Record,"TCP-D - The Challenges, Issues and Results",1996,journals/sigmod/Bhashyam96
"Per-�ke Larson, Luis Gravano, Stefano Ceri, Leonid Libkin, Tova Milo, Kenneth A. Ross",SIGMOD Record,Reminiscences on Influential Papers,2001,journals/sigmod/RossCGLLM01
"Hector Garcia-Molina, Narayanan Shivakumar, Jeffrey D. Ullman, Rajeev Motwani, Min Fang",VLDB,Computing Iceberg Queries Efficiently,1998,conf/vldb/FangSGMU98
Paradise Team,SIGMOD Conference,Paradise: A Database System for GIS Applications,1995,conf/sigmod/Team95a
David Vaskevitch,VLDB,"Very Large Databases: How Large, How Different?",1995,conf/vldb/Vaskevitch95
"Vinayak R. Borkar, Sunita Sarawagi, Kaustubh Deshmukh",SIGMOD Conference,Automatic Segmentation of Text into Structured Records,2001,conf/sigmod/BorkarDS01
"Michael J. Carey, Subbu N. Subramanian, Eugene J. Shekita, Jerry Kiernan, Jayavel Shanmugasundaram",VLDB,XPERANTO: Middleware for Publishing Object-Relational Data as XML Documents,2000,conf/vldb/CareyKSSS00
"Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil",SIGMOD Conference,Bit-Sliced Index Arithmetic,2001,conf/sigmod/RinfretOO01
Joachim Hammer,SIGMOD Record,Treasurer's Message,2001,journals/sigmod/Hammer01
Li Yang,SIGMOD Record,A Hypertext Query Language for Images,1994,journals/sigmod/Yang94
"Jeffrey F. Naughton, Michael J. Carey, Dhaval Shah, Johannes Gehrke, Mohammad Asgarian, David J. DeWitt, Paul Brown",SIGMOD Conference,The BUCKY Object-Relational Benchmark (Experience Paper),1997,conf/sigmod/CareyDNAGS97
"V. S. Subrahmanian, Eric Lemar, K. Sel�uk Candan",VLDB J.,View Management in Multimedia Databases,2000,journals/vldb/CandanLS00
"Daniela Florescu, Cristian-Augustin Saita, Eric Simon, Dennis Shasha, Helena Galhardas",VLDB,"Declarative Data Cleaning: Language, Model, and Algorithms",2001,conf/vldb/GalhardasFSSS01
"Arvind Hulgeri, Gaurav Bhalotia, Soumen Chakrabarti, Parag, S. Sudarshan, Charuta Nakhe, B. Aditya",VLDB,BANKS: Browsing and Keyword Searching in Relational Databases,2002,conf/vldb/AdityaBCHNS02
"Myung-Jae Park, Jun-Ki Min, Chin-Wan Chung",SIGMOD Conference,XPRESS: A Queriable Compression for XML Data,2003,conf/sigmod/MinPC03
"Anindya Datta, Chris Jermaine, Edward Omiecinski",VLDB,A Novel Index Supporting High Volume Data Warehouse Insertion,1999,conf/vldb/JermaineDO99
"Rajeev Motwani, Waqar Hasan",VLDB,Coloring Away Communication in Parallel Query Optimization,1995,conf/vldb/HasanM95
Christos Faloutsos,VLDB,Sensor Data Mining: Similarity Search and Pattern Analysis,2002,conf/vldb/Faloutsos02
"Mayank Bawa, Rakesh Agrawal, Roberto J. Bayardo Jr.",VLDB,Privacy-Preserving Indexing of Documents on the Network,2003,conf/vldb/BawaBA03
"Stacia De Lima, Li Chen, Ming Li, S. Weiner, Chandrakant Natarajan, Elke A. Rundensteiner, Xin Zhang, Kajal T. Claypool, Jing Jin",SIGMOD Conference,SERF: ODMG-Based Generic Re-structuring Facility,1999,conf/sigmod/RundensteinerCLCZNJLW99
