title,year,authors,venue
Online association rule mining,1999,Christian Hidber,International Conference on Management of Data
Conceptual schema analysis: techniques and applications,1998,"S. Castano, V. De Antonellis, M. G. Fugini, B. Pernici",ACM Transactions on Database Systems (TODS)
An access control model supporting periodicity constraints and temporal reasoning,1998,"Elisa Bertino, Claudio Bettini, Elena Ferrari, Pierangela Samarati",ACM Transactions on Database Systems (TODS)
An efficient method for checking object-oriented database schema correctness,1998,"A. Formica, H. D. Groger, M. Missikoff",ACM Transactions on Database Systems (TODS)
Integration of spatial join algorithms for processing multiple inputs,1999,"Nikos Mamoulis, Dimitris Papadias",International Conference on Management of Data
Selectivity estimation in spatial databases,1999,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data
Efficient concurrency control in multidimensional access methods,1999,"Kaushik Chakrabarti, Sharad Mehrotra",International Conference on Management of Data
Snakes and sandwiches: optimal clustering strategies for a data warehouse,1999,"H. V. Jagadish, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data
OPTICS: ordering points to identify the clustering structure,1999,"Mihael Ankerst, Markus M. Breunig, Hans-Peter Kriegel, J&#246;rg Sander",International Conference on Management of Data
A case for intelligent disks (IDISKs),1998,"Kimberly Keeton, David A. Patterson, Joseph M. Hellerstein",ACM SIGMOD Record
The TriGS active object-oriented database system- an overview,1998,"G. Kappel, W. Retschitzegger",ACM SIGMOD Record
Reminiscences on influential papers,1998,Richard Snodgrass,ACM SIGMOD Record
B-tree page size when caching is considered,1998,David Lomet,ACM SIGMOD Record
The Microsoft database research group,1998,"David Lomet, Roger Barga, Surajit Chaudhuri, Paul Larson, Vivek Narasayya",ACM SIGMOD Record
Database research at Columbia University,1998,"Shih-Fu Chang, Luis Gravano, Gail E. Kaiser, Kenneth A. Ross, Salvatore J. Stolfo",ACM SIGMOD Record
Database techniques for the World-Wide Web: a survey,1998,"Daniela Florescu, Alon Levy, Alberto Mendelzon",ACM SIGMOD Record
Standards in practice,1998,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record
Safe query languages for constraint databases,1998,Peter Z. Revesz,ACM Transactions on Database Systems (TODS)
Supporting valid-time indeterminacy,1998,"Curtis E. Dyreson, Richard Thomas Snodgrass",ACM Transactions on Database Systems (TODS)
The Garlic project,1996,"M. Tork Roth, M. Arya, L. Haas, M. Carey, W. Cody, R. Fagin, P. Schwarz, J. Thomas, E. Wimmers",International Conference on Management of Data
BeSS: storage support for interactive visualization systems,1996,"A. Biliris, T. A. Funkhouser, W. O'Connell, E. Panagos",International Conference on Management of Data
Algebraic change propagation for semijoin and outerjoin queries,1998,"Timothy Griffin, Bharat Kumar",ACM SIGMOD Record
Enhanced nearest neighbour search on the R-tree,1998,"King Lum Cheung, Ada Wai-Chee Fu",ACM SIGMOD Record
Report on the 5th international workshop on knowledge representation meets databases (KRDB'98),1998,"Alex Borgida, Vinay K. Chaudhri, Martin Staudt",ACM SIGMOD Record
Safe stratified Datalog with integer order does not have syntax,1998,"Alexei P. Stolboushkin, Michael A. Taitslin",ACM Transactions on Database Systems (TODS)
DBMiner: interactive mining of multiple-level knowledge in relational databases,1996,"Jaiwei Han, Youngjian Fu, Wei Wang, Jenny Chiang, Osmar R. Za&#239;ane, Krzysztof Koperski",International Conference on Management of Data
prospector: a content-based multimedia server for massively parallel architectures,1996,"S. Choo, W. O'Connell, G. Linerman, H. Chen, K. Ganapathy, A. Biliris, E. Panagos, D. Schrader",International Conference on Management of Data
DBSim: a simulation tool for predicting database performance,1996,"Mark Lefler, Mark Stokrp, Craig Wong",International Conference on Management of Data
LORE: a Lightweight Object REpository for semistructured data,1996,"Dallan Quass, Jennifer Widom, Roy Goldman, Kevin Haas, Qingshan Luo, Jason McHugh, Svetlozar Nestorov, Anand Rajaraman, Hugo Rivero, Serge Abiteboul, Jeff Ullman, Janet Wiener",International Conference on Management of Data
CapBasED-AMS: a capability-based and event-driven activity management system,1996,"Patrick C. K. Hung, Helen P. Yeung, Kamalakar Karlapalem",International Conference on Management of Data
The MultiView project: object-oriented view technology and applications,1996,"E. A. Rundensteiner, H. A. Kuno, Y.-G. Ra, V. Crestana-Taube, M. C. Jones, P. J. Marron",International Conference on Management of Data
METU interoperable database system,1996,"Asuman Dogac, Ugur Halici, Ebru Kilic, Gokhan Ozhan, Fatma Ozcan, Sena Nural, Cevdet Dengi, Sema Mancuhan, Budak Arpinar, Pinar Koksal, Cem Evrendilek",International Conference on Management of Data
SONAR: system for optimized numeric association rules,1996,"Takeshi Fukuda, Yasuhiko Morimoto, Shinichi Morishita, Takeshi Tokuyama",International Conference on Management of Data
Repository system engineering,1996,Pillip A. Bernstein,International Conference on Management of Data
databases and visualization,1996,Daniel A. Keim,International Conference on Management of Data
"Adaptive, fine-grained sharing in a client-server OODBMS: a callback-based approach",1997,"Markos Zaharioudakis, Michael J. Carey, Michael J. Franklin",ACM Transactions on Database Systems (TODS)
The ins and outs (and everything in between) of data warehousing,1996,"Phil Fernandez, Donovan Schneider",International Conference on Management of Data
Thinksheet: a tool for tailoring complex documents,1996,"Peter Piatko, Roman Yangarber, Daoi Lin, Dennis Shasha",International Conference on Management of Data
HyperStorM-administering structured documents using object-oriented database technology,1996,"Klemens B&#246;hm, Karl Aberer",International Conference on Management of Data
State of the art in workflow management research and products,1996,C. Mohan,International Conference on Management of Data
Data mining techniques,1996,Jiawei Han,International Conference on Management of Data
Minimization of tree pattern queries,2001,"Sihem Amer-Yahia, SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data
Data-driven understanding and refinement of schema mappings,2001,"Ling Ling Yan, Ren&#233;e J. Miller, Laura M. Haas, Ronald Fagin",International Conference on Management of Data
Communication-efficient distributed mining of association rules,2001,"Assaf Schuster, Ran Wolff",International Conference on Management of Data
Selectivity estimation using probabilistic models,2001,"Lise Getoor, Benjamin Taskar, Daphne Koller",International Conference on Management of Data
Applying the golden rule of sampling for query estimation,2001,"Yi-Leh Wu, Divyakant Agrawal, Amr El Abbadi",International Conference on Management of Data
Monitoring XML data on the Web,2001,"Benjamin Nguyen, Serge Abiteboul, Gr&#233;gory Cobena, Miha&#237; Preda",International Conference on Management of Data
On supporting containment queries in relational database management systems,2001,"Chun Zhang, Jeffrey Naughton, David DeWitt, Qiong Luo, Guy Lohman",International Conference on Management of Data
Updating XML,2001,"Igor Tatarinov, Zachary G. Ives, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data
The nimble integration engine,2001,"Denise Draper, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data
Experiences in mining aviation safety data,2001,"Zohreh Nazeri, Eric Bloedorn, Paul Ostwald",International Conference on Management of Data
Catalog management in websphere commerce suite,2001,Thomas Maguire,International Conference on Management of Data
Content integration for e-business,2001,"Michael Stonebraker, Joseph M. Hellerstein",International Conference on Management of Data
The network is the database: data management for highly distributed systems,2001,"Julio C. Navas, Michael Wynblatt",International Conference on Management of Data
Enabling dynamic content caching for database-driven web sites,2001,"K. Sel&#231;uk Candan, Wen-Syan Li, Qiong Luo, Wang-Pin Hsiung, Divyakant Agrawal",International Conference on Management of Data
"StorHouse metanoia - new applications for database, storage &; data warehousing",2001,"Felipe Cari&#241;o, Jr., Pekka Kostamaa, Art Kaufmann, John Burgess",International Conference on Management of Data
Reconciling schemas of disparate data sources: a machine-learning approach,2001,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",International Conference on Management of Data
REVIEW: a real-time virtual walkthrough system,2001,"L. Shou, C. H. Chionh, Z. Huang, Y. Ruan, Kian-Lee Tan",International Conference on Management of Data
Kweelt: more than just yet another framework to query XML!,2001,Arnaud Sahuguet,International Conference on Management of Data
Dissemination of dynamic data,2001,"Pavan Deolasee, Amol Katkar, Ankur Panchbudhe, Krithi Ramamritham, Prashant Shenoy",International Conference on Management of Data
"COSIMA- your smart, speaking E-salesperson",2001,"Werner Kie&#946;ling, Stefan Holland, Stefan Fischer, Thorsten Ehm",International Conference on Management of Data
Exploiting constraint-like data characterizations in query optimization,2001,"Parke Godfrey, Jarek Gryz, Calisto Zuzarte",International Conference on Management of Data
Fast-Start: quick fault recovery in oracle,2001,"Tirthankar Lahiri, Amit Ganesh, Ron Weiss, Ashok Joshi",International Conference on Management of Data
"Data management: lasting impact on wild, wild, web",2001,Reed M. Meseck,International Conference on Management of Data
Orthogonal optimization of subqueries and aggregation,2001,"C&#233;sar Galindo-Legaria, Milind Joshi",International Conference on Management of Data
Materialized view and index selection tool for Microsoft SQL server 2000,2001,"Sanjay Agrawal, Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data
The prototype of the DARE system,2001,"Tiziana Catarci, Giuseppe Santucci",International Conference on Management of Data
"Sangam - a solution to support multiple data models, their mappings and maintenance",2001,"Kajal T. Claypool, Elke A. Rundensteiner, Xin Zhang, Su Hong, Harumi Kuno, Wang-chien Lee, Gail Mitchell",International Conference on Management of Data
Clio: a semi-automatic tool for schema mapping,2001,"Mauricio A. Hern&#225;ndez, Ren&#233;e J. Miller, Laura M. Haas",International Conference on Management of Data
OminiSearch: a method for searching dynamic content on the Web,2001,"David Buttler, Ling Liu, Calton Pu, Henrique Paques, Wei Han, Wei Tang",International Conference on Management of Data
Securing XML documents: the author-X project demonstration,2001,"Elisa Bertino, Silvana Castano, Elena Ferrari",International Conference on Management of Data
Monitoring business processes through event correlation based on dependency model,2001,"Asaf Adii, David Botzer, Opher Etzion, Tali Yatzkar-Haham",International Conference on Management of Data
VQBD: exploring semistructured data,2001,"Sudarshan S. Chawathe, Thomas Baby, Jihwang Yoo",International Conference on Management of Data
Mining needle in a haystack: classifying rare classes via two-phase rule induction,2001,"Mahesh V. Joshi, Ramesh C. Agarwal, Vipin Kumar",International Conference on Management of Data
Data bubbles: quality preserving performance boosting for hierarchical clustering,2001,"Markus M. Breunig, Hans-Peter Kriegel, Peer Kr&#246;ger, J&#246;rg Sander",International Conference on Management of Data
