title,starring,entityUrl,writer,editor
The Big Steal,William Bendix,Match21277,Gerald Drayson Adams,
Damian'S National Lampoon's Last Resort,Geoffrey Lewis (actor),D1446,Patrick Labyorteaux,
,Brenda Fricker,Match13459,Colin Bateman,
The Year of Living Dangerously,Noel Ferrier,Match15892,Christopher Koch,
,Paul Hubschmid,Match18441,Werner Jörg Lüddecke,
Topaze,Myrna Adele Williams,Match15674,Marcel Pagnol,
Cheech & Chong's The Corsican Brothers,Roy Dotrice,Match18053,Rikki Marin,
,Lance Armstrong,Match11988,,
,Tommy Lee Jones,Match22272,Guillermo Arriaga,
Capricorn One,Brenda Vaccaro,Match1808,Peter Hyams,
Tristar,Sunny Chan,Match22287,,
,"Yvonne Lime
Bret Halsey
Jana Lund",Match1429,"Mark Lowell
Jan Lowell",
,Olympia Dukakis,D1457,Rob Hickman,
,William Hansen,Match19339,Michael Crichton,
David and Bathsheba,Edythe Marrenner,Match21343,Philip Dunne (writer),
,Philippe Noiret,Match21895,Georges Franju,
Southie,Donald Edmond Wahlberg,Match14031,,
,Juliette Lewis,Match20895,Laura Cahill,
Der Hauptmann von Ku00F6penick,Paul Wagner,Match22763,Carl Zuckmayer,
,Hank Hightower,D1464,,
Invasion of the Bee Girls,William Smith (actor),Match18561,Nicholas Meyer,
Insanitarium,,D1466,Jeff Buhler,
Zoom,Cornelius Crane Chase,Match11125,Adam Rifkin,
,Cochin Haneefa,Match2961,S. Shankar,
One Hour Photo,Connie Inge-Lise Nielsen,Match4382,Mark Romanek,
Grand Prix (Cannes Film Festival),Jiang Hongbo,Match1322,Shi Jianquan,
,Mimi Heinrich,Match13605,Erik Fiehn,
,Denise Michelle Crosby,Match22596,,
,Christy Carlson Romano,Match8446,Michael Walsh,
,Shanti Priya,Match19714,Iqbal Durrani,
Shall We Dansu?,Tamiyo Kusakari,Match518,Masayuki Suo,
,,Match11526,Alexander Dovzhenko,
,moe.,Match12961,moe.,
The Light That Failed (1939 Film),Walter Houghston,D1478,,
,A. E. Matthews,Match2799,Mark Twain,
Shart: The Challenge,Anupam Kher,Match2745,Puri Jagannadh,
Escape from L.A.,Georges Corraface,Match22036,Debra Hill,
Hell's Island,Mary Murphy,Match17475,Maxwell Shane,
,Sada Carolyn Thompson,Match18164,Terrence McNally,
,Devayani,D1484,,
,Pongsak Pongsuwan,D1485,,
,Michal Do?olomanský,Match13392,Ji?í Brde?ka,
Babes in Arms,"Joseph Yule, Jr.",Match20863,Kay Van Riper,
,Madhuri Shankar Dixit,Match3328,"K. S. Adiyaman
Arun Kumar
Ashok Mehta
Reema Rakeshnath",
The Mighty,Kieran Culkin,Match7078,Rodman Philbrick,
Quicksilver,Kevin Norwood Bacon,Match826,Thomas Michael Donnelly,
The Blue Hour,Alyssa Jayne Milano,D1491,Eric Nazarian,
,Alberto Sordi,Match18793,Bernardino Zapponi,
,Max Bing,Match4827,,
Perversidade,,Match1754,José Medina,
Metropolitan,Dylan Hundley,Match4664,Whit Stillman,
That's My Line,Louis John Bartels,Match10036,Roscoe Arbuckle,
Samurai Rebellion,Tatsuya Nakadai,Match20730,Yasuhiko Takiguchi,
Wolf Tracks,Hoot Gibson,Match10093,Arthur Henry Gooden,
,John Carroll O'Connor,Match22084,Edwin O'Connor,
White Hunter Black Heart,Jeff Fahey,Match2021,Burt Kennedy,
,Smita Jaykar,Match5492,Imtiyaz Husain,
,u0E40u0E01u0E28u0E23u0E34u0E19 u0E40u0E2Du0E01u0E18u0E27u0E31u0E0Au0E01u0E38u0E25,Match19690,Morakat Kaewthanek,
Shangoul & Mangoul,,Match4080,,
,Ben Folds,D1504,,
0466909,Andrew Tiernan,Match8025,Clive Dawson,
Grosse Pointe Blank,John Paul Cusack,Match7056,Steve Pink,
,George Campbell Scott,Match8321,James Goldman,
,Mary Philbin,Match9156,James Ashmore Creelman,
The Black Gestapo,Rod Perry,Match4945,Lee Frost,
Flamingo Road,Sydney Hughes Greenstreet,D1510,Edmund H. North,
Shell Shock,,Match18788,,
,Marion Pauline Levy,Match2332,Ernest Vajda,
The Locket,Robert Mitchum,Match1780,Sheridan Gibney,
The Great Dictator,Lewis Delaney Offield,Match10750,Charles Chaplin,
,"Aditya
Neshtra",D1515,Haricharan Newton,
Allari Bullodu,Nitin,Match4680,,
,Laila Mehdin,D1517,Sujatha,
Rope,John Dall Thompson,Match572,Ben Hecht,
,,Match6220,Michaël Dudok De Wit,
Sleepstalker,Michael Harris (actor),Match22483,Turi Meyer,
New York Stories,Giancarlo Giannini,Match2762,Sofia Carmina Coppola,
,Rose Joan Blondell,Match4294,William Marchant,
The Sea Wolves,Daniel Patrick Macnee,Match983,Reginald Rose,
,,Match20607,"Sandip Ray
Satyajit Ray
Prafulla Chandra Roy",
Darth Vader's Psychic Hotline,"Robert E. Bean
Heather Harris
",Match2265,Lowell Cunningham,
Uchu00FBjin Tokyo ni arawaru,Mieko Nagai,Match19523,"Gentaro Nakajima (novel) 
 Hideo Oguni (screenplay) 
 Jay Cipes (English dialogue) 
 Edward Palmer (English dialogue)",
,James Francis Cagney Jr.,Match10694,Luther Davis,
Yellowbeard,Tommy Chong,Match22453,Peter Edward Cook,
,Francis Curray McHugh,Match3362,Guy Bolton,
An Angel at My Table,Francesca Collins,Match4547,Laura Jones,
Living Out Loud,Holly P. Hunter,Match17449,Richard LaGravenese,
,Marian Nixon,Match7484,Tom Barry,
Get on the Bus,Charles Stanley Dutton,Match19752,Reggie Rock Bythewood,
"Zorro, The Gay Blade",Ron Liebman,Match10912,,
,"Two uncredited male sexual performers, and one female non-sexual performer",D1535,Oscar Wild,
Children of the Living Dead,A. Barrett Worland,D1536,,
,Humphrey DeForest Bogart,Match21482,Alfred Neumann (writer),
,Isha Koppikar,D1538,Jahnu Barua,
,Cuba Gooding Jr.,Match10054,Jere Cunningham,
,Santiago Gómez Cou,Match17041,Carlos Cores,
,Yvonne Wilder,Match21792,Tim Conway,
,Barbara Harris (actress),Match16437,Neil Simon,
,Narda Onyx,Match5598,Carl K. Hittleman,
,Johnny Lever,Match3148,,
Greedy,Nancy Travis,Match17025,Lowell Ganz,
,Ravi,D1546,,
,Michael Rooker,Match16815,Richard Price (writer),
,Rajnikanth,Match6353,,
The Straight and Narrow,Oliver Hardy,Match17335,,
"China 9, Liberty 37",Warren Mercer Oates,Match9161,Ennio de Concini,
Nala Damayanthi,Nassar,Match408,Mouli,
,Jane Merrow,Match9831,L.W. Davidson,
Snow White and the Seven Dwarfs,Lucille La Verne,Match1702,Gustaf Tenggren,
Hedwig and the Angry Inch,Andrea Louise Martin,Match7195,Stephen Trask,
"Ghidorah, the Three-Headed Monster",Yuriko Hoshi,Match1255,Shinichi Sekizawa,
Arabesque,Harold Kasket,Match3843,Julian Mitchell,
,Abraham Charles Vigodah,Match19707,Francis Ford Coppola,
What Women Want,Mel Gibson,Match10756,Cathy Yuspa,
The Fortune,John Joseph Nicholson,Match19887,Carole Eastman,
Re-Animator,Jeffrey Alan Combs,Match1378,Stuart Gordon,
,Morris Chestnut,Match10095,Lawrence Roman,
,David Huffman,Match7048,,
,William Nigel Ernle Bruce,Match9841,"Arthur Conan Doyle (characters)
Bertram Millhauser",
,Park Overall,Match14693,Susan Rice,
,Tony Hawks,D1565,Robert Llewellyn,
Stephen Tobolowsky's Birthday Party,Stephen Harold Tobolowsky,Match8768,,
,Tommy Wong,Match4634,Yin Nam,
,Christos Zorbas,Match8723,Alexis Damianos,
,Ed Binns,Match4180,William Raynor,
,Thandiwe Adjewa Newton,Match7617,Clare Peploe,
He Would a Hunting Go,Roscoe Arbuckle,Match6028,,
Special Delivery,,Match13910,"Eunice Macaulay
John Weldon",
Gertrud,Axel Strøbye,Match10523,Hjalmar Söderberg,
,Jason Thompson (actor),Match8491,"John Benjamin Martin 
 Peter Atkins (characters)",
Monster Night,Vanessa Madeline Angel,D1575,Damián Romay,
Scavenger Hunt,Scatman Crothers,Match7375,"Henry Harper
John Thomson
Steven Vail
Gerry Woolery",
From the Earth to the Moon,Don Dobbins,Match16108,James Leicester,
Dark Days,,Match15655,,
Shooter,Michael Anthony Peu00F1a,Match10519,Stephen Hunter,
The Pledge,John Joseph Nicholson,Match6898,Mary Olson-Kromolowski,
Luke and the Rural Roughnecks,Harold Lloyd,Match16654,,
,Geetha,D1582,Bhaskar,
,Mélanie St-Pierre,D1583,John Masius,
Booty Call,Tamala Jones,Match10658,"Takashi Bufford
J. Stanford Parker",
Falling in Love,Mary Louise Streep,Match848,Michael Cristofer,
The Dead Zone,Brooke Adams,Match9317,Jeffrey Boam,
,,Match7731,"Kinji Fukasaku
 Sadao Nakajima (own segment)
 Tatsuo Nogami (screenplay)
 Shiro Ozaki (novel)
 Junya Sato",
,Graham Dorrington,Match4880,Werner Herzog,
,Vivian Rich,Match6186,Marc Edmund Jones,
Suite Habana,Francisco Cardet,Match10432,Fernando Pu00E9rez,
,Sara Simmonds,Match1688,Nathan Todd Sims,
,Rodrigo Junqueira dos Reis,D1592,,
,Sandrine Holt,Match4833,Andrew C. Erin,
,Timothy Bottoms,Match9677,Larry Jeff McMurtry,
His Private Secretary,Evalyn Knapp,Match14246,"Lewis D. Collins 
 Jack Natteford",
,Vyjayanthimala,Match124,,
,Madhavi,D1597,,
Filmfare Best Movie Award,Moushmi Chatterjee,Match4424,,
In the Valley of Elah,Susan Abigail Tomalin,D1599,Paul Edward Haggis,
Funeral Parade of Roses,Peter (actor),Match868,Toshio Matsumoto,
,Glenn Allen,Match5241,Thomas Mercer,
Tjenare kungen,Cecilia Wallin,Match19047,Anna Fredriksson,
The Lost World,Peter Michael Falk,Match10310,Arthur Conan Doyle,
Eagle vs Shark,Jemaine Clement,D1604,Taika Waititi,
Applause,Helen Morgan,Match10431,Garrett Fort,
,Barbara Jean Morehead,Match686,Peter S. Fischer,
King of the Jungle,John Leguizamo,Match12429,Seth Zvi Rosenfeld,
City of Ghosts,Natascha Taylor,Match1436,Barry Gifford,
Don,Rahul Dev,D1609,Abburi Ravi,
Perdita Durango,Javier u00C1ngel Encinas Bardem,Match12118,Alex de la Iglesia,
,Karl Maka,D1611,,
,"Pablo Tendilla Ortiz (Indio), Pablo Tendilla Rocha (Jhonny), Aidee Gonzalez (Rebecca), Darina Rabago Soto (Brianda)",Match15598,"Dylan Verrechia, James Lefkowitz",
Comic Book Confidential,Robert Dennis Crumb,Match1218,Ron Mann,
Penelope,Christina Ricci,Match9112,Leslie Caveny,
,Reginald Carey Harrison,Match12014,Val Valentine,
,Shatrughan Sinha,Match11810,Talat Jani,
,Suhasini Rajaram Naidu,D1617,K. Balachandar,
Message in a Bottle,Paul Leonard Newman,Match8292,Nicholas Sparks,
Honey Glaze,Sideshow Cinema#James O'Brien,Match5909,Michael Legge (filmmaker),
Une histoire d'eau,Caroline Dim,Match9878,"Franu00E7ois Truffaut
Jean-Luc Godard",
,Charles Van Johnson,Match2203,Philip G. Epstein,
,Walter Davis Pidgeon,Match2367,Herbert Baker,
,Swoosie Kurtz,Match8260,Andrew Klavan,
Peesua lae dokmai,"Suriya Yaowasang
Vasana Polyiem",Match14567,Euthana Mukdasanit,
,Clark Lohr and Carolyn Owen,D1625,Steven Allan Spielberg,
,Hema Malini,Match7255,,
The Last Wagon,Carl Benton Reid,Match13888,James Edward Grant,
A Lizard in a Woman's Skin,"Florinda Bolkan
Stanley Baker
Jean Sorel",Match5823,Lucio Fulci,
,David Alan Grier,Match1695,Stu Krieger,
Baby Doll,Mildred Dunnock,Match16216,Tennessee Williams,
Le Retour de Martin Guerre,Gu00E9rard Xavier Marcel Depardieu,Match2403,Jean-Claude Carrière,
Night at the Museum,Rami Malek,Match11213,Screen story,Don Zimmerman
,Gigi Perreau,Match4218,David L. Hewitt,
,Kavya Madhavan,Match10724,Sunil Parameswar,
,Jesse Ventura,Match12241,Damian Lee,
A Little Sex,Susanna Dalton,Match10136,Robert De Laurentiis,
Flags of Our Fathers,Jamie Bell,Match14803,Paul Edward Haggis,
,Lindsay Jean Wagner,D1638,Greg McCarty,
Spring in a Small Town,Li Wei (actor),Match10483,Li Tianji,
Madame Curie,Walter Davis Pidgeon,Match7092,Paul Osborn,
Frogs,Lynn Borden,Match2469,Robert Hutchison,
Frankenstein Meets the Wolf Man,Patric Knowles,D1642,Curt Siodmak,
,Gloria DeHaven,D1643,,
,Hans Peter Hallwachs,Match1477,Volker Schlöndorff,
,Gabriel Mann (actor),Match10884,John G. Young,
,Jatin Khanna,Match676,,
The Weak and the Wicked,Diana Mary Fluck,D1647,,
,Julee Cruise,Match7852,David Keith Lynch,
,Shaan (Actor),D1649,Rukhsana Noor,
Howard the Duck,Timothy Francis Robbins,Match15166,Willard Huyck,
The Family Secret,Edward Earle,Match22205,Dwinelle Benthall,
,Jorge Sanz,Match5849,Alfonso Albacete,
The Return of Swamp Thing,Sarah Douglas,Match22094,Neil Cuthbert,
Freedom Comes High,,D1654,,
The Wasp,Hugh Bennett,Match1120,,
Vai que u00E9 Mole,Grande Otelo,Match11735,"Edgar G. Alves
J.B. Tanko",
,Winston Rekert,Match574,Jeff Maguire,
,Neil Dudgeon,D1658,Garth Jennings,
The Children of Huang Shi,Guang Li,D1659,Jane Hawksley,
Attack Force Z,Nigel John Dermot Neill,Match15406,Roger Marshall,
,Asia Aria Anna Maria Vittoria Rossa Argento,D1661,Dario Argento,
,Catherine Louise Sagal,D1662,Eric Kaplan,
,Ong-art Ponethon,D1663,Khamsing Srinawk,
Serial (film),,Match5884,,
,Michael Caton,D1665,Dean Murphy,
Punks,Devon Odessa,Match13996,,
Teenage Catgirls in Heat,"Dave Cox
Esmeralda Huffhines
Gary Graves
Helen Griffiths
Carrie Vanston",Match8047,"Scott Perry
Grace Smith",
Punisher: War Zone,Julie Benz,D1668,Kurt Sutter,
The Agent,Oliver Hardy,Match10091,"Tom Buckingham
Larry Semon",
,Patricia Adriani,Match7290,Lola Salvador,
,George Montgomery Letz,Match9561,Edward Mann,
Voices of Iraq,People of Iraq,Match20762,,
Twin Flats,Oliver Hardy,Match16781,,
CJ7,Stephen Chow,D1674,Stephen Chow,
The Sign of the Cross,Lily Claudette Chauchoin,Match15547,Wilson Barrett,
Glass Bottom Boat,Doris Day,Match7149,Everett Freeman,
Stewardess School,Brett Cullen,Match6513,Ken Blancato,
Heartbreak Hotel,Tuesday Weld,Match13623,Chris Columbus,
Il Commisario Pepe,Giuseppe Maffioli,Match11447,Ruggero Maccari,
Talk Radio,Michael Anthony Claudio Wincott,Match1167,Stephen Singular,
Broken Oath,Angela Mao,Match10026,,
,Si Jenks,Match6882,Felix Adler,
The Manxman,Malcolm Keen,Match21397,Eliot Stannard,
,Joe Piscopo,Match5952,George Gallo,
u00C9lisa,Sekkou Sall,Match1187,Jean Becker,
Toolbox Murders,Harold Rance Beckenholdt,D1686,,
,Charles Clarence Robert Orville Cummings,Match6795,Norman Krasna,
Kamulah Satu-Satunya,Nirina Zubir,D1688,Hanung Bramantyo,
,,Match22584,Abrams Klezkins,
,Susanne Blakeslee,Match9670,Jim Kammerud,
,Doris Day,D1691,,
Lovers' Post Office,Roscoe Arbuckle,Match20876,,
Hold That Ghost,William Alexander Abbott,Match7389,Fred Rinaldo,
Rumor Has It,Jennifer Aniston,Match11714,Ted Griffin,
,Ficarra,Match8219,Ficarra,
The Brother from Another Planet,David Russell Strathairn,Match17029,John Sayles,
Journey to Lasta,"Tsegaye B. Selassie 

Kirubel Assefa 

Teferi Assefa     

Johnny Ashenafi      

Jessica Beshir  
    
Tsehaie Kidane      

Abbey Lessanu 

Scott F. Evans 

Ras Michael",Match20281,Wondwossen D. Dikran,
"Sleep, My Love",Lily Claudette Chauchoin,Match13647,Leo Rosten,
My Man Godfrey,William Horatio Powell,Match18626,Gregory La Cava,
,Wakana Yamazaki,Match18571,Kazunari Kochi,
La sconosciuta,Michele Placido,D1701,Giuseppe Tornatore,
,Guy Edward Pearce,D1702,Brian Ward,
Dark Matter,Aidan Quinn,D1703,Billy Shebar,
Torremolinos 73,Javier Cámara,Match22778,Pablo Berger,
Pipe Dreams,Kate Price (actor),Match8429,,
Hell's Angels,Harlean Harlow Carpenter,Match22359,Howard Estabrook,
Serial (film),,D1707,,
Chain Reaction,Keanu Charles Reeves,Match13790,,
Dog Park,Kathleen Robertson,Match13289,Bruce McCulloch,
This Property Is Condemned,Natalia Nikolaevna Zakharenko,Match7220,Edith Sommer,
Kshatriya,Dharmendra,Match14020,J.P. Dutta,
Ben Hur,William Surrey Hart,Match21852,Gene Gauntier,
,Martin Alan Feldman,Match9400,Ron Clark (writer),
Screamplay,George Kuchar,Match20101,"Ed Greenberg
Rufus Butler Seder",
,Arthur Andrew Kelm,Match20415,John Tomerlin,
Quicksand9,"Joseph Yule, Jr.",Match19434,,
The Paper Chase,Jacques Haussmann,Match14147,James Bridges,
Academy Award for Best Picture,Herbert Mundin,Match17401,James Norman Hall,
Will Success Spoil Rock Hunter?,Vera Jayne Palmer,Match20583,George Axelrod,
The Human Stain,Nicole Mary Kidman,Match19654,Philip Roth,
"Honey, We Shrunk Ourselves",Allison Mack,Match19197,Joel Hodgson,
Species: The Awakening,Helena Mattsson,D1722,Ben Ripley,
A Question of Honor,Jack Richardson (actor),Match19881,,
,Ng Man Tat,Match9235,Jeffrey Lau,
Animal Crackers,Chico Marx,Match20300,George S. Kaufman,
For Heaven's Sake,Charles Clarence Robert Orville Cummings,Match19363,Harry Segall,
,Redman (rapper),Match19139,Don Mancini,
Summer School,Dean Cameron,Match14886,Stuart Birnbaum,
Freedom Downtime,,Match14163,,
Soul Man,Leslie William Nielsen,Match19971,Carol Black,
The Reaping,Graham Rea,D1731,Carey Hayes,
,Jyothika,D1732,Ramana,
Senseless,Bradford Claude Dourif,Match5817,Greg Erb,
Old Offenders,Henry DeWitt Carey II,Match17834,,
,Asrani,Match17836,,
"Ritual dos Su00E1dicos, O",José Mojica Marins,Match22633,Rubens F. Lucchetti,
Wesley Willis: The Daddy of Rock 'n' Roll,Wesley Willis,Match17326,,
List of Sundance Film Festival award winners,Chalmers Johnson,Match6510,Eugene Jarecki,
La Promesse,Assita Ouedraogo,Match18644,Luc Dardenne,
,Louise Marleau,Match16897,Luigi Cozzi,
,Michael Macready,Match13132,Bob Kelljan,
Viruddh... Family Comes First,Sharmila Tagore,Match18009,Mahesh Manjrekar,
To Walk with Lions,John Michie,D1743,,
,Ravi Krishna,D1744,,
State of Grace,John Michael Turturro,Match11636,Dennis McIntyre,
Jaws: The Revenge,Mario Van Peebles,Match18556,Michael De Guzman,
Chamatkar,,Match7812,,
Title,Kristen Carroll Wiig,D1748,Paul Schneider,
Infernal Affairs III,Anthony Perry,Match14805,Felix Chong,
The Cardinal,Valeria Jill Haworth,Match16189,Robert Dozier,
,Sally Claire Kellerman,Match18783,George Mendeluk<BR/>Bradley Kesden<BR/>Michael Paseornek,
Mischief,Chris Nash,Match14879,Noel Black,
,Han Suk-kyu,Match21615,,
,Brigitte Mira,Match8018,Rainer Werner Fassbinder,
Vampires,Thomas Ian Griffith,Match6730,John Steakley,
Savage Guns,Robert Woods,Match21527,,
,,Match13602,Dziga Vertov,
,Rehman,Match20726,,
"Angel (""Tian shi xing dong"")",Hwang Jang Lee,Match12855,Teresa Woo,
One True Thing,Lauren Helen Graham,Match16750,Karen Croner,
Safe,Peter Friedman,Match15900,Todd Haynes,
Keeping Mum,Maggie  Smith,Match20287,Richard Russo,
Hinokio,Masatoshi Nakamura,Match6340,Shoji Yonemura,
Alraune,Géza Erdélyi,Match6798,Hanns Heinz Ewers,
ABBA: The Movie,Robert Hughes (Australian actor),Match8313,Lars Hallstru00F6m,
,Norman D. Golden II,Match8034,Arne Olsen,
Venky,Ravi Teja,Match15220,Srinu Vaitla,
The Heroes,Oliver Hardy,Match18479,,
The Right Way,Gloria Slade,Match6428,Mark Penney,Kevin Rollins
,John Hubbard,Match16918,Neil P. Varnick (story),
Dr. Phibes Rises Again,Robert Quarry,Match6531,Robert Blees,
License to Wed,DeRay Davis,Match7856,Kim Barker,
,Sangeeta,Match20449,,
Baykot,Majid Majidi,Match7982,,
,Y?ld?r?m Önel,Match8216,Yilmaz Güney,
A Smoky Mountain Christmas,Dolly Parton,Match17132,"William Bleich
Dolly Parton",
,Phyllis Thaxter,Match13449,Douglas Morrow,
"Captain Newman, M.D.",Bernard Schwartz,Match14417,Richard L. Breen,
,Marty Brill,Match17012,Joe Raposo,
,Dermot Mulroney,Match17230,E. Max Frye,
,Bela Lugosi,Match19957,Gerald Schnitzer,
Shit Happens,Kristoffer Joner,Match21896,Morten Hovland,
Guns at Batasi,John Edward Hawkins,Match22038,Marshall Pugh,
Les tu00EAtes interverties,Micheline Beauchemin,D1784,Alejandro Jodorowsky,
Waikiki Wedding,Harry Lillis Crosby,Match21785,,
,Nancy Kelly,Match15693,,
Robot Monster,Gregory Moffett,Match17190,Wyott Ordung,
,Kenneth Dollins,Match7030,Felix Adler,
,"Pu00E1ll Danielsen
Erling Eysturoy
Elin K. Mouritsen
Katrin Ottarsdu00F3ttir",Match15325,,
A Lawyer Walks into a Bar,Nancy Ann Grace,D1790,,
,Letícia Sabatella,D1791,Anna Muylaer,
Invasion U.S.A.,Carlos Ray Norris,Match13443,Carlos Ray Norris,
Overland Stage Raiders,Marion Robert Morrison,Match8868,William Colt MacDonald,
Mystery Date,Brian McNamara,D1794,Terry Runte,
Mumford,Zooey Claire Deschanel,Match6047,Lawrence Kasdan,
,Dianne Wiest,Match14750,Andrew Litvack,
Fire,Nandita Das,Match12911,Deepa Mehta,
Serial (film),,D1798,,
,Jatin Khanna,Match21660,,
Black Moon Rising,Linda Carroll Hamilton,Match13029,William Gray,
,Lennart Eriksson,Match18882,,
Yodha,Madhu Raghunath,Match13123,Sangeeth Sivan,
Dragonfly,Linda Hunt,Match7584,Brandon Camp,
,Vinod Mehra,Match12930,,
Horrorween,Ed Meyer,D1805,Ed Meyer,
Perfect Body,Brett Cullen,Match10641,Melissa Gould,
A Busy Day,Charlie Chaplin,Match6714,,
,Erkki Pajala,D1808,Olli Soinio,
2+5: Missione Hydra,"Leonora Ruffo
Mario Novelli",Match12156,,
The Nature of the Beast,Lance Henriksen,Match21069,Victor Salva,
Luke's Lost Liberty,Harold Lloyd,Match17361,,
Mabel's Wilful Way,Mabel Normand,Match22647,,
Starchaser: The Legend of Orin,Dennis Alwood,Match14561,Jeffrey Scott,
Thirteen Conversations About One Thing,Tia Texada,Match7161,Jill Sprecher,
,Lynn Lowry,Match17851,David E. Durston,
Right at Your Door,Will McCormack,Match20822,Chris Gorak,Jeffrey M. Werner
,,Match8217,Morten Skallerud,
Motor Psycho,Holle K. Winters,Match11066,James Griffith,
,"Sterling Hayden, Arthur Hunnicutt, Ernest Borgnine",Match22550,Warren Duff (story by Sy Bartlett),
Zoop in Zuid-Amerika,,D1820,,
Le Temps qui reste,Melvil Poupaud,Match11413,François Ozon,
,Rajnikanth,D1822,,
White Of The Eye,Cathy Moriarty,Match21945,"Andrew Klavan (novel)
Donald Cammell",
Roving Mars,,Match11004,Robert Andrus,
,David Ogden Stiers,Match13533,Djordje Milicevic,
The Freeze-Out,Henry DeWitt Carey II,Match8971,George C. Hull,
,Ruby Catherine Stevens,Match19184,Frances Marion,
Boss - I Love You,Akkineni Nagarjuna Rao,Match14148,Chintapally Ramana,
October Moon,Charlene Elizabeth Brinkman,Match19991,Jason Paul Collum,
Singles,Jim True-Frost,Match6777,Cameron Bruce Crowe,
Fear,Mark Wahlberg,Match22477,Christopher Crowe,
,Melchor Gaston Ferrer,Match14616,Daniel Taradash,
,Randy Kehler,D1833,Sara Elinoff,
,Roger Kwok Chun On,Match7239,Jing Wong,
,"Lon Chaney Jr.
Jean Parker",Match18785,Dwight V. Babcock,
Squanto: A Warrior's Tale,Eric Schweig,Match20344,Darlene Craviotto,
Battle Beyond The Sun,Ivan Pereverzhev,Match8960,"Mikhail Karzhukov

Yevgeni Pomeshchikov

Aleksei Sazanov",
